dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      189	        6	0.00
        2	        2	    30000	      225	        7	0.00
        2	        3	    30000	      193	        6	0.00
        2	        5	    30000	      183	        6	0.00
        2	        8	    30000	      238	        7	0.00
        2	       13	    30000	      389	       12	0.00
        2	       21	    30000	      359	       11	0.00
        2	       34	    30000	      822	       27	0.00
        2	       55	    30000	     1138	       37	0.00
        2	       89	    30000	     1703	       56	0.00
        2	      144	    30000	     3154	      105	0.00
        2	      233	    30000	     4891	      163	0.00
        2	      377	    30000	     9879	      329	0.00
        2	      610	    30000	    17845	      594	0.00
        2	      987	    30000	    25501	      850	0.00
        4	        1	    30000	       89	        2	0.00
        4	        2	    30000	      106	        3	0.00
        4	        3	    30000	       89	        2	0.00
        4	        5	    30000	       92	        3	0.00
        4	        8	    30000	      134	        4	0.00
        4	       13	    30000	      131	        4	0.00
        4	       21	    30000	      142	        4	0.00
        4	       34	    30000	      166	        5	0.00
        4	       55	    30000	      339	       11	0.00
        4	       89	    30000	      442	       14	0.00
        4	      144	    30000	      846	       28	0.00
        4	      233	    30000	     1640	       54	0.00
        4	      377	    30000	     2139	       71	0.00
        4	      610	    30000	     4022	      134	0.00
        4	      987	    30000	     7158	      238	0.00
        8	        1	    30000	      104	        3	0.00
        8	        2	    30000	      109	        3	0.00
        8	        3	    30000	      105	        3	0.00
        8	        5	    30000	      113	        3	0.00
        8	        8	    30000	      157	        5	0.00
        8	       13	    30000	      130	        4	0.00
        8	       21	    30000	      141	        4	0.00
        8	       34	    30000	      147	        4	0.00
        8	       55	    30000	      180	        6	0.00
        8	       89	    30000	      186	        6	0.00
        8	      144	    30000	      269	        8	0.00
        8	      233	    30000	      399	       13	0.00
        8	      377	    30000	      573	       19	0.00
        8	      610	    30000	      863	       28	0.00
        8	      987	    30000	     1261	       42	0.00
       16	        1	    30000	      102	        3	0.00
       16	        2	    30000	      108	        3	0.00
       16	        3	    30000	      105	        3	0.00
       16	        5	    30000	      109	        3	0.00
       16	        8	    30000	      104	        3	0.00
       16	       13	    30000	      112	        3	0.00
       16	       21	    30000	      126	        4	0.00
       16	       34	    30000	      135	        4	0.00
       16	       55	    30000	      169	        5	0.00
       16	       89	    30000	      229	        7	0.00
       16	      144	    30000	      321	       10	0.00
       16	      233	    30000	      422	       14	0.00
       16	      377	    30000	      568	       18	0.00
       16	      610	    30000	      843	       28	0.00
       16	      987	    30000	     1238	       41	0.00
       24	        1	    30000	      115	        3	0.00
       24	        2	    30000	      132	        4	0.00
       24	        3	    30000	      131	        4	0.00
       24	        5	    30000	      155	        5	0.00
       24	        8	    30000	      140	        4	0.00
       24	       13	    30000	      141	        4	0.00
       24	       21	    30000	      152	        5	0.00
       24	       34	    30000	      200	        6	0.00
       24	       55	    30000	      196	        6	0.00
       24	       89	    30000	      278	        9	0.00
       24	      144	    30000	      373	       12	0.00
       24	      233	    30000	      529	       17	0.00
       24	      377	    30000	      741	       24	0.00
       24	      610	    30000	     1291	       43	0.00
       24	      987	    30000	     2170	       72	0.00
       32	        1	    30000	      151	        5	0.00
       32	        2	    30000	      152	        5	0.00
       32	        3	    30000	      142	        4	0.00
       32	        5	    30000	      139	        4	0.00
       32	        8	    30000	      149	        4	0.00
       32	       13	    30000	      160	        5	0.00
       32	       21	    30000	      161	        5	0.00
       32	       34	    30000	      196	        6	0.00
       32	       55	    30000	      228	        7	0.00
       32	       89	    30000	      268	        8	0.00
       32	      144	    30000	      340	       11	0.00
       32	      233	    30000	      490	       16	0.00
       32	      377	    30000	      744	       24	0.00
       32	      610	    30000	     1106	       36	0.00
       32	      987	    30000	     1581	       52	0.00
    
