dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      233	        7	0.00
        2	        2	    30000	      172	        5	0.00
        2	        3	    30000	      141	        4	0.00
        2	        5	    30000	      144	        4	0.00
        2	        8	    30000	      150	        5	0.00
        2	       13	    30000	      152	        5	0.00
        2	       21	    30000	      157	        5	0.00
        2	       34	    30000	      158	        5	0.00
        2	       55	    30000	       97	        3	0.00
        2	       89	    30000	      109	        3	0.00
        2	      144	    30000	      144	        4	0.00
        2	      233	    30000	      215	        7	0.00
        2	      377	    30000	      331	       11	0.00
        2	      610	    30000	      473	       15	0.00
        2	      987	    30000	      709	       23	0.00
        4	        1	    30000	       65	        2	0.00
        4	        2	    30000	       69	        2	0.00
        4	        3	    30000	       70	        2	0.00
        4	        5	    30000	       74	        2	0.00
        4	        8	    30000	       68	        2	0.00
        4	       13	    30000	       84	        2	0.00
        4	       21	    30000	       77	        2	0.00
        4	       34	    30000	       79	        2	0.00
        4	       55	    30000	       95	        3	0.00
        4	       89	    30000	      122	        4	0.00
        4	      144	    30000	      165	        5	0.00
        4	      233	    30000	      243	        8	0.00
        4	      377	    30000	      379	       12	0.00
        4	      610	    30000	      542	       18	0.00
        4	      987	    30000	      862	       28	0.00
        8	        1	    30000	       71	        2	0.00
        8	        2	    30000	       72	        2	0.00
        8	        3	    30000	       68	        2	0.00
        8	        5	    30000	       72	        2	0.00
        8	        8	    30000	       74	        2	0.00
        8	       13	    30000	       85	        2	0.00
        8	       21	    30000	       91	        3	0.00
        8	       34	    30000	      100	        3	0.00
        8	       55	    30000	      125	        4	0.00
        8	       89	    30000	      160	        5	0.00
        8	      144	    30000	      234	        7	0.00
        8	      233	    30000	      325	       10	0.00
        8	      377	    30000	      459	       15	0.00
        8	      610	    30000	      702	       23	0.00
        8	      987	    30000	     1164	       38	0.00
       16	        1	    30000	       77	        2	0.00
       16	        2	    30000	       82	        2	0.00
       16	        3	    30000	       70	        2	0.00
       16	        5	    30000	       77	        2	0.00
       16	        8	    30000	       80	        2	0.00
       16	       13	    30000	       86	        2	0.00
       16	       21	    30000	      105	        3	0.00
       16	       34	    30000	      109	        3	0.00
       16	       55	    30000	      142	        4	0.00
       16	       89	    30000	      187	        6	0.00
       16	      144	    30000	      255	        8	0.00
       16	      233	    30000	      386	       12	0.00
       16	      377	    30000	      566	       18	0.00
       16	      610	    30000	      873	       29	0.00
       16	      987	    30000	     1340	       44	0.00
       24	        1	    30000	       86	        2	0.00
       24	        2	    30000	       82	        2	0.00
       24	        3	    30000	       84	        2	0.00
       24	        5	    30000	       85	        2	0.00
       24	        8	    30000	       91	        3	0.00
       24	       13	    30000	       99	        3	0.00
       24	       21	    30000	      110	        3	0.00
       24	       34	    30000	      128	        4	0.00
       24	       55	    30000	      159	        5	0.00
       24	       89	    30000	      209	        6	0.00
       24	      144	    30000	      287	        9	0.00
       24	      233	    30000	      475	       15	0.00
       24	      377	    30000	      606	       20	0.00
       24	      610	    30000	     1075	       35	0.00
       24	      987	    30000	     1892	       63	0.00
       32	        1	    30000	      173	        5	0.00
       32	        2	    30000	       80	        2	0.00
       32	        3	    30000	      109	        3	0.00
       32	        5	    30000	       97	        3	0.00
       32	        8	    30000	       99	        3	0.00
       32	       13	    30000	      120	        4	0.00
       32	       21	    30000	      123	        4	0.00
       32	       34	    30000	      175	        5	0.00
       32	       55	    30000	      241	        8	0.00
       32	       89	    30000	      296	        9	0.00
       32	      144	    30000	      511	       17	0.00
       32	      233	    30000	      566	       18	0.00
       32	      377	    30000	      763	       25	0.00
       32	      610	    30000	     1730	       57	0.00
       32	      987	    30000	     1808	       60	0.00
    
