dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	     1349	       44	0.00
        2	        2	    30000	      974	       32	0.00
        2	        3	    30000	     1006	       33	0.00
        2	        5	    30000	     1084	       36	0.00
        2	        8	    30000	     1166	       38	0.00
        2	       13	    30000	     1162	       38	0.00
        2	       21	    30000	     1311	       43	0.00
        2	       34	    30000	     1664	       55	0.00
        2	       55	    30000	     2175	       72	0.00
        2	       89	    30000	     2754	       91	0.00
        2	      144	    30000	     3246	      108	0.00
        2	      233	    30000	     5973	      199	0.00
        2	      377	    30000	    10806	      360	0.00
        2	      610	    30000	    16826	      560	0.00
        2	      987	    30000	    29571	      985	0.00
        4	        1	    30000	     1714	       57	0.00
        4	        2	    30000	     1505	       50	0.00
        4	        3	    30000	     1571	       52	0.00
        4	        5	    30000	     1780	       59	0.00
        4	        8	    30000	     2460	       82	0.00
        4	       13	    30000	     2351	       78	0.00
        4	       21	    30000	     1940	       64	0.00
        4	       34	    30000	     2085	       69	0.00
        4	       55	    30000	     2106	       70	0.00
        4	       89	    30000	     2480	       82	0.00
        4	      144	    30000	     2647	       88	0.00
        4	      233	    30000	     3514	      117	0.00
        4	      377	    30000	     4358	      145	0.00
        4	      610	    30000	     6324	      210	0.00
        4	      987	    30000	     9968	      332	0.00
        8	        1	    30000	     3124	      104	0.00
        8	        2	    30000	     2754	       91	0.00
        8	        3	    30000	     2791	       93	0.00
        8	        5	    30000	     2942	       98	0.00
        8	        8	    30000	     2832	       94	0.00
        8	       13	    30000	     2710	       90	0.00
        8	       21	    30000	     2655	       88	0.00
        8	       34	    30000	     2680	       89	0.00
        8	       55	    30000	     3773	      125	0.00
        8	       89	    30000	     4137	      137	0.00
        8	      144	    30000	     3248	      108	0.00
        8	      233	    30000	     5685	      189	0.00
        8	      377	    30000	     5427	      180	0.00
        8	      610	    30000	     3968	      132	0.00
        8	      987	    30000	     5256	      175	0.00
       16	        1	    30000	     7511	      250	0.00
       16	        2	    30000	     6248	      208	0.00
       16	        3	    30000	     4661	      155	0.00
       16	        5	    30000	     4572	      152	0.00
       16	        8	    30000	     4376	      145	0.00
       16	       13	    30000	     4374	      145	0.00
       16	       21	    30000	     4095	      136	0.00
       16	       34	    30000	     4217	      140	0.00
       16	       55	    30000	     4297	      143	0.00
       16	       89	    30000	     4182	      139	0.00
       16	      144	    30000	     4317	      143	0.00
       16	      233	    30000	     4421	      147	0.00
       16	      377	    30000	     4453	      148	0.00
       16	      610	    30000	     4777	      159	0.00
       16	      987	    30000	     5168	      172	0.00
       24	        1	    30000	     5743	      191	0.00
       24	        2	    30000	     5796	      193	0.00
       24	        3	    30000	     5856	      195	0.00
       24	        5	    30000	     5782	      192	0.00
       24	        8	    30000	     5922	      197	0.00
       24	       13	    30000	     5672	      189	0.00
       24	       21	    30000	     5959	      198	0.00
       24	       34	    30000	     5962	      198	0.00
       24	       55	    30000	     5791	      193	0.00
       24	       89	    30000	     6079	      202	0.00
       24	      144	    30000	     6044	      201	0.00
       24	      233	    30000	     6306	      210	0.00
       24	      377	    30000	     6508	      216	0.00
       24	      610	    30000	     6945	      231	0.00
       24	      987	    30000	     7228	      240	0.00
       32	        1	    30000	     7741	      258	0.00
       32	        2	    30000	     7635	      254	0.00
       32	        3	    30000	     7525	      250	0.00
       32	        5	    30000	     7806	      260	0.00
       32	        8	    30000	     7832	      261	0.00
       32	       13	    30000	     7978	      265	0.00
       32	       21	    30000	     7558	      251	0.00
       32	       34	    30000	     7515	      250	0.00
       32	       55	    30000	     7699	      256	0.00
       32	       89	    30000	     7871	      262	0.00
       32	      144	    30000	     7847	      261	0.00
       32	      233	    30000	     8208	      273	0.00
       32	      377	    30000	     8630	      287	0.00
       32	      610	    30000	     8934	      297	0.00
       32	      987	    30000	     9188	      306	0.00
    
