dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      111	        3	0.00
        2	        2	    30000	       70	        2	0.00
        2	        3	    30000	       75	        2	0.00
        2	        5	    30000	       71	        2	0.00
        2	        8	    30000	       82	        2	0.00
        2	       13	    30000	       84	        2	0.00
        2	       21	    30000	       92	        3	0.00
        2	       34	    30000	      112	        3	0.00
        2	       55	    30000	      127	        4	0.00
        2	       89	    30000	      180	        6	0.00
        2	      144	    30000	      221	        7	0.00
        2	      233	    30000	      338	       11	0.00
        2	      377	    30000	      515	       17	0.00
        2	      610	    30000	      723	       24	0.00
        2	      987	    30000	     1144	       38	0.00
        4	        1	    30000	       69	        2	0.00
        4	        2	    30000	       66	        2	0.00
        4	        3	    30000	       69	        2	0.00
        4	        5	    30000	       75	        2	0.00
        4	        8	    30000	       78	        2	0.00
        4	       13	    30000	       77	        2	0.00
        4	       21	    30000	       87	        2	0.00
        4	       34	    30000	       91	        3	0.00
        4	       55	    30000	      124	        4	0.00
        4	       89	    30000	      150	        5	0.00
        4	      144	    30000	      203	        6	0.00
        4	      233	    30000	      318	       10	0.00
        4	      377	    30000	      485	       16	0.00
        4	      610	    30000	      743	       24	0.00
        4	      987	    30000	     1201	       40	0.00
        8	        1	    30000	       84	        2	0.00
        8	        2	    30000	       94	        3	0.00
        8	        3	    30000	      108	        3	0.00
        8	        5	    30000	       94	        3	0.00
        8	        8	    30000	      106	        3	0.00
        8	       13	    30000	       92	        3	0.00
        8	       21	    30000	      107	        3	0.00
        8	       34	    30000	      116	        3	0.00
        8	       55	    30000	      133	        4	0.00
        8	       89	    30000	      182	        6	0.00
        8	      144	    30000	      262	        8	0.00
        8	      233	    30000	      387	       12	0.00
        8	      377	    30000	      687	       22	0.00
        8	      610	    30000	      998	       33	0.00
        8	      987	    30000	     1433	       47	0.00
       16	        1	    30000	       84	        2	0.00
       16	        2	    30000	       86	        2	0.00
       16	        3	    30000	       91	        3	0.00
       16	        5	    30000	       89	        2	0.00
       16	        8	    30000	      100	        3	0.00
       16	       13	    30000	      104	        3	0.00
       16	       21	    30000	      118	        3	0.00
       16	       34	    30000	      130	        4	0.00
       16	       55	    30000	      167	        5	0.00
       16	       89	    30000	      228	        7	0.00
       16	      144	    30000	      307	       10	0.00
       16	      233	    30000	      478	       15	0.00
       16	      377	    30000	      712	       23	0.00
       16	      610	    30000	     1098	       36	0.00
       16	      987	    30000	     1769	       58	0.00
       24	        1	    30000	       99	        3	0.00
       24	        2	    30000	       94	        3	0.00
       24	        3	    30000	      173	        5	0.00
       24	        5	    30000	      248	        8	0.00
       24	        8	    30000	      214	        7	0.00
       24	       13	    30000	      175	        5	0.00
       24	       21	    30000	      151	        5	0.00
       24	       34	    30000	      165	        5	0.00
       24	       55	    30000	      235	        7	0.00
       24	       89	    30000	      313	       10	0.00
       24	      144	    30000	      437	       14	0.00
       24	      233	    30000	      598	       19	0.00
       24	      377	    30000	      859	       28	0.00
       24	      610	    30000	     1367	       45	0.00
       24	      987	    30000	     2391	       79	0.00
       32	        1	    30000	      107	        3	0.00
       32	        2	    30000	      109	        3	0.00
       32	        3	    30000	      202	        6	0.00
       32	        5	    30000	      146	        4	0.00
       32	        8	    30000	      130	        4	0.00
       32	       13	    30000	      187	        6	0.00
       32	       21	    30000	      177	        5	0.00
       32	       34	    30000	      282	        9	0.00
       32	       55	    30000	      233	        7	0.00
       32	       89	    30000	      340	       11	0.00
       32	      144	    30000	      457	       15	0.00
       32	      233	    30000	      638	       21	0.00
       32	      377	    30000	      975	       32	0.00
       32	      610	    30000	     1512	       50	0.00
       32	      987	    30000	     3018	      100	0.00
    
