
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      115	        3	0.00
        2	        2	    30000	       75	        2	0.00
        2	        3	    30000	      106	        3	0.00
        2	        5	    30000	      120	        4	0.00
        2	        8	    30000	       79	        2	0.00
        2	       13	    30000	      112	        3	0.00
        2	       21	    30000	      109	        3	0.00
        2	       34	    30000	      111	        3	0.00
        2	       55	    30000	      115	        3	0.00
        2	       89	    30000	      129	        4	0.00
        2	      144	    30000	      102	        3	0.00
        2	      233	    30000	      119	        3	0.00
        2	      377	    30000	      143	        4	0.00
        2	      610	    30000	      192	        6	0.00
        2	      987	    30000	      254	        8	0.00
        2	     1597	    30000	      362	       12	0.00
        2	     2584	    30000	      544	       18	0.00
        2	     4181	    30000	      903	       30	0.00
        2	     6765	    30000	     1381	       46	0.00
        2	    10946	    30000	     2293	       76	0.00
        2	    17711	    30000	     3879	      129	0.00
        2	    28657	    30000	     6309	      210	0.00
        2	    46368	    30000	     9790	      326	0.00
        4	        1	    30000	       77	        2	0.00
        4	        2	    30000	       79	        2	0.00
        4	        3	    30000	       83	        2	0.00
        4	        5	    30000	       81	        2	0.00
        4	        8	    30000	       88	        2	0.00
        4	       13	    30000	       81	        2	0.00
        4	       21	    30000	       82	        2	0.00
        4	       34	    30000	       85	        2	0.00
        4	       55	    30000	       85	        2	0.00
        4	       89	    30000	       88	        2	0.00
        4	      144	    30000	       89	        2	0.00
        4	      233	    30000	       99	        3	0.00
        4	      377	    30000	      114	        3	0.00
        4	      610	    30000	      128	        4	0.00
        4	      987	    30000	      158	        5	0.00
        4	     1597	    30000	      197	        6	0.00
        4	     2584	    30000	      287	        9	0.00
        4	     4181	    30000	      400	       13	0.00
        4	     6765	    30000	      586	       19	0.00
        4	    10946	    30000	      924	       30	0.00
        4	    17711	    30000	     1305	       43	0.00
        4	    28657	    30000	     2001	       66	0.00
        4	    46368	    30000	     2952	       98	0.00
        8	        1	    30000	       84	        2	0.00
        8	        2	    30000	       89	        2	0.00
        8	        3	    30000	       86	        2	0.00
        8	        5	    30000	       85	        2	0.00
        8	        8	    30000	       88	        2	0.00
        8	       13	    30000	       86	        2	0.00
        8	       21	    30000	       88	        2	0.00
        8	       34	    30000	       88	        2	0.00
        8	       55	    30000	       90	        3	0.00
        8	       89	    30000	       96	        3	0.00
        8	      144	    30000	       98	        3	0.00
        8	      233	    30000	      108	        3	0.00
        8	      377	    30000	      119	        3	0.00
        8	      610	    30000	      142	        4	0.00
        8	      987	    30000	      174	        5	0.00
        8	     1597	    30000	      233	        7	0.00
        8	     2584	    30000	      312	       10	0.00
        8	     4181	    30000	      441	       14	0.00
        8	     6765	    30000	      664	       22	0.00
        8	    10946	    30000	      962	       32	0.00
        8	    17711	    30000	     1548	       51	0.00
        8	    28657	    30000	     2100	       70	0.00
        8	    46368	    30000	     3323	      110	0.00
       16	        1	    30000	       93	        3	0.00
       16	        2	    30000	      100	        3	0.00
       16	        3	    30000	      107	        3	0.00
       16	        5	    30000	      104	        3	0.00
       16	        8	    30000	      101	        3	0.00
       16	       13	    30000	      105	        3	0.00
       16	       21	    30000	      103	        3	0.00
       16	       34	    30000	      108	        3	0.00
       16	       55	    30000	      105	        3	0.00
       16	       89	    30000	      114	        3	0.00
       16	      144	    30000	      156	        5	0.00
       16	      233	    30000	      268	        8	0.00
       16	      377	    30000	      273	        9	0.00
       16	      610	    30000	      206	        6	0.00
       16	      987	    30000	      201	        6	0.00
       16	     1597	    30000	      298	        9	0.00
       16	     2584	    30000	      373	       12	0.00
       16	     4181	    30000	      563	       18	0.00
       16	     6765	    30000	     1220	       40	0.00
       16	    10946	    30000	     1785	       59	0.00
       16	    17711	    30000	     1986	       66	0.00
       16	    28657	    30000	     2703	       90	0.00
       16	    46368	    30000	     4348	      144	0.00
       24	        1	    30000	      105	        3	0.00
       24	        2	    30000	      102	        3	0.00
       24	        3	    30000	      105	        3	0.00
       24	        5	    30000	      103	        3	0.00
       24	        8	    30000	      105	        3	0.00
       24	       13	    30000	      104	        3	0.00
       24	       21	    30000	      108	        3	0.00
       24	       34	    30000	      107	        3	0.00
       24	       55	    30000	      112	        3	0.00
       24	       89	    30000	      115	        3	0.00
       24	      144	    30000	      124	        4	0.00
       24	      233	    30000	      135	        4	0.00
       24	      377	    30000	      167	        5	0.00
       24	      610	    30000	      186	        6	0.00
       24	      987	    30000	      240	        8	0.00
       24	     1597	    30000	      312	       10	0.00
       24	     2584	    30000	      447	       14	0.00
       24	     4181	    30000	      664	       22	0.00
       24	     6765	    30000	     1008	       33	0.00
       24	    10946	    30000	     1451	       48	0.00
       24	    17711	    30000	     2280	       76	0.00
       24	    28657	    30000	     4450	      148	0.00
       24	    46368	    30000	     6385	      212	0.00
       32	        1	    30000	      115	        3	0.00
       32	        2	    30000	      112	        3	0.00
       32	        3	    30000	      113	        3	0.00
       32	        5	    30000	      111	        3	0.00
       32	        8	    30000	      117	        3	0.00
       32	       13	    30000	      115	        3	0.00
       32	       21	    30000	      119	        3	0.00
       32	       34	    30000	      117	        3	0.00
       32	       55	    30000	      124	        4	0.00
       32	       89	    30000	      126	        4	0.00
       32	      144	    30000	      136	        4	0.00
       32	      233	    30000	      149	        4	0.00
       32	      377	    30000	      176	        5	0.00
       32	      610	    30000	      218	        7	0.00
       32	      987	    30000	      269	        8	0.00
       32	     1597	    30000	      389	       12	0.00
       32	     2584	    30000	      559	       18	0.00
       32	     4181	    30000	      828	       27	0.00
       32	     6765	    30000	     1285	       42	0.00
       32	    10946	    30000	     1803	       60	0.00
       32	    17711	    30000	     2678	       89	0.00
       32	    28657	    30000	     4228	      140	0.00
       32	    46368	    30000	     6784	      226	0.00
    
