
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	       54	        1	0.00
        2	        2	    30000	      109	        3	0.00
        2	        3	    30000	       55	        1	0.00
        2	        5	    30000	       54	        1	0.00
        2	        8	    30000	       55	        1	0.00
        2	       13	    30000	       61	        2	0.00
        2	       21	    30000	       67	        2	0.00
        2	       34	    30000	       72	        2	0.00
        2	       55	    30000	       74	        2	0.00
        2	       89	    30000	       85	        2	0.00
        2	      144	    30000	      104	        3	0.00
        2	      233	    30000	      138	        4	0.00
        2	      377	    30000	      124	        4	0.00
        2	      610	    30000	      140	        4	0.00
        2	      987	    30000	      156	        5	0.00
        2	     1597	    30000	      193	        6	0.00
        2	     2584	    30000	      227	        7	0.00
        2	     4181	    30000	      310	       10	0.00
        2	     6765	    30000	      362	       12	0.00
        2	    10946	    30000	      535	       17	0.00
        2	    17711	    30000	      729	       24	0.00
        2	    28657	    30000	     1185	       39	0.00
        2	    46368	    30000	     2062	       68	0.00
        4	        1	    30000	       49	        1	0.00
        4	        2	    30000	       51	        1	0.00
        4	        3	    30000	       53	        1	0.00
        4	        5	    30000	       57	        1	0.00
        4	        8	    30000	       54	        1	0.00
        4	       13	    30000	       56	        1	0.00
        4	       21	    30000	       59	        1	0.00
        4	       34	    30000	       67	        2	0.00
        4	       55	    30000	       73	        2	0.00
        4	       89	    30000	       86	        2	0.00
        4	      144	    30000	      112	        3	0.00
        4	      233	    30000	      160	        5	0.00
        4	      377	    30000	      132	        4	0.00
        4	      610	    30000	      154	        5	0.00
        4	      987	    30000	      174	        5	0.00
        4	     1597	    30000	      199	        6	0.00
        4	     2584	    30000	      243	        8	0.00
        4	     4181	    30000	      332	       11	0.00
        4	     6765	    30000	      398	       13	0.00
        4	    10946	    30000	      635	       21	0.00
        4	    17711	    30000	      895	       29	0.00
        4	    28657	    30000	     1092	       36	0.00
        4	    46368	    30000	     2504	       83	0.00
        8	        1	    30000	       61	        2	0.00
        8	        2	    30000	       59	        1	0.00
        8	        3	    30000	       60	        2	0.00
        8	        5	    30000	       61	        2	0.00
        8	        8	    30000	       64	        2	0.00
        8	       13	    30000	       64	        2	0.00
        8	       21	    30000	       70	        2	0.00
        8	       34	    30000	       77	        2	0.00
        8	       55	    30000	       83	        2	0.00
        8	       89	    30000	      101	        3	0.00
        8	      144	    30000	      132	        4	0.00
        8	      233	    30000	      180	        6	0.00
        8	      377	    30000	      152	        5	0.00
        8	      610	    30000	      175	        5	0.00
        8	      987	    30000	      201	        6	0.00
        8	     1597	    30000	      238	        7	0.00
        8	     2584	    30000	      295	        9	0.00
        8	     4181	    30000	      400	       13	0.00
        8	     6765	    30000	      531	       17	0.00
        8	    10946	    30000	      570	       19	0.00
        8	    17711	    30000	     1029	       34	0.00
        8	    28657	    30000	     1653	       55	0.00
        8	    46368	    30000	     4930	      164	0.00
       16	        1	    30000	       67	        2	0.00
       16	        2	    30000	       61	        2	0.00
       16	        3	    30000	       61	        2	0.00
       16	        5	    30000	       65	        2	0.00
       16	        8	    30000	       71	        2	0.00
       16	       13	    30000	       71	        2	0.00
       16	       21	    30000	       77	        2	0.00
       16	       34	    30000	       87	        2	0.00
       16	       55	    30000	      105	        3	0.00
