
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	     1000	        3	        3	0.00
        2	        2	     1000	        3	        3	0.00
        2	        3	     1000	        3	        3	0.00
        2	        5	     1000	        4	        4	0.00
        2	        8	     1000	        4	        4	0.00
        2	       13	     1000	        5	        5	0.00
        2	       21	     1000	        5	        5	0.00
        2	       34	     1000	        8	        8	0.00
        2	       55	     1000	       12	       12	0.00
        2	       89	     1000	       81	       81	0.00
        2	      144	     1000	       29	       29	0.00
        2	      233	     1000	       47	       47	0.00
        2	      377	     1000	       72	       72	0.00
        2	      610	     1000	      111	      111	0.00
        2	      987	     1000	      175	      175	0.00
        2	     1597	     1000	      281	      281	0.00
        2	     2584	     1000	      449	      449	0.00
        2	     4181	     1000	      734	      734	0.00
        2	     6765	     1000	     1096	     1096	0.00
        2	    10946	     1000	     1824	     1824	0.00
        2	    17711	     1000	     3241	     3241	0.00
        2	    28657	     1000	     5568	     5568	0.00
        2	    46368	     1000	     9507	     9507	0.00
        4	        1	     1000	        3	        3	0.00
        4	        2	     1000	        3	        3	0.00
        4	        3	     1000	        3	        3	0.00
        4	        5	     1000	        4	        4	0.00
        4	        8	     1000	        4	        4	0.00
        4	       13	     1000	        5	        5	0.00
        4	       21	     1000	        7	        7	0.00
        4	       34	     1000	        9	        9	0.00
        4	       55	     1000	       13	       13	0.00
        4	       89	     1000	       22	       22	0.00
        4	      144	     1000	       30	       30	0.00
        4	      233	     1000	       47	       47	0.00
        4	      377	     1000	       77	       77	0.00
        4	      610	     1000	      135	      135	0.00
        4	      987	     1000	      191	      191	0.00
        4	     1597	     1000	      309	      309	0.00
        4	     2584	     1000	      520	      520	0.00
        4	     4181	     1000	      820	      820	0.00
        4	     6765	     1000	     1248	     1248	0.00
        4	    10946	     1000	     2187	     2187	0.00
        4	    17711	     1000	     3315	     3315	0.00
        4	    28657	     1000	     5436	     5436	0.00
        4	    46368	     1000	     9344	     9344	0.00
        8	        1	     1000	        3	        3	0.00
        8	        2	     1000	        3	        3	0.00
        8	        3	     1000	        3	        3	0.00
        8	        5	     1000	        4	        4	0.00
        8	        8	     1000	        5	        5	0.00
        8	       13	     1000	        6	        6	0.00
        8	       21	     1000	        8	        8	0.00
        8	       34	     1000	       13	       13	0.00
        8	       55	     1000	       15	       15	0.00
        8	       89	     1000	       23	       23	0.00
        8	      144	     1000	       36	       36	0.00
        8	      233	     1000	       58	       58	0.00
        8	      377	     1000	       90	       90	0.00
        8	      610	     1000	      144	      144	0.00
        8	      987	     1000	      240	      240	0.00
        8	     1597	     1000	      365	      365	0.00
        8	     2584	     1000	      608	      608	0.00
        8	     4181	     1000	      992	      992	0.00
        8	     6765	     1000	     1558	     1558	0.00
        8	    10946	     1000	     2709	     2709	0.00
        8	    17711	     1000	     5758	     5758	0.00
        8	    28657	     1000	     9367	     9367	0.00
        8	    46368	     1000	    15223	    15223	0.00
       16	        1	     1000	        4	        4	0.00
       16	        2	     1000	        4	        4	0.00
       16	        3	     1000	        4	        4	0.00
       16	        5	     1000	        5	        5	0.00
       16	        8	     1000	        6	        6	0.00
       16	       13	     1000	        7	        7	0.00
       16	       21	     1000	        8	        8	0.00
       16	       34	     1000	       19	       19	0.00
       16	       55	     1000	       37	       37	0.00
       16	       89	     1000	       47	       47	0.00
       16	      144	     1000	       96	       96	0.00
       16	      233	     1000	      130	      130	0.00
       16	      377	     1000	      304	      304	0.00
       16	      610	     1000	      223	      223	0.00
       16	      987	     1000	      702	      702	0.00
       16	     1597	     1000	      658	      658	0.00
       16	     2584	     1000	      833	      833	0.00
       16	     4181	     1000	     1310	     1310	0.00
       16	     6765	     1000	     2153	     2153	0.00
       16	    10946	     1000	     5037	     5037	0.00
       16	    17711	     1000	     7441	     7441	0.00
       16	    28657	     1000	    13209	    13209	0.00
       16	    46368	     1000	    17128	    17128	0.00
       24	        1	     1000	        7	        7	0.00
       24	        2	     1000	        4	        4	0.00
       24	        3	     1000	        5	        5	0.00
       24	        5	     1000	        6	        6	0.00
       24	        8	     1000	        7	        7	0.00
       24	       13	     1000	        9	        9	0.00
       24	       21	     1000	       13	       13	0.00
       24	       34	     1000	       19	       19	0.00
       24	       55	     1000	       28	       28	0.00
       24	       89	     1000	       45	       45	0.00
       24	      144	     1000	       66	       66	0.00
       24	      233	     1000	      107	      107	0.00
       24	      377	     1000	      152	      152	0.00
       24	      610	     1000	      247	      247	0.00
       24	      987	     1000	      437	      437	0.00
       24	     1597	     1000	      697	      697	0.00
       24	     2584	     1000	     1058	     1058	0.00
       24	     4181	     1000	     1775	     1775	0.00
       24	     6765	     1000	     3145	     3145	0.00
       24	    10946	     1000	     5001	     5001	0.00
       24	    17711	     1000	     8870	     8870	0.00
       24	    28657	     1000	    15057	    15057	0.00
       24	    46368	     1000	    22886	    22886	0.00
       32	        1	     1000	        4	        4	0.00
       32	        2	     1000	        4	        4	0.00
       32	        3	     1000	        5	        5	0.00
       32	        5	     1000	        5	        5	0.00
       32	        8	     1000	        7	        7	0.00
       32	       13	     1000	       10	       10	0.00
       32	       21	     1000	       14	       14	0.00
       32	       34	     1000	       21	       21	0.00
       32	       55	     1000	       34	       34	0.00
       32	       89	     1000	       47	       47	0.00
       32	      144	     1000	       77	       77	0.00
       32	      233	     1000	      119	      119	0.00
       32	      377	     1000	      198	      198	0.00
       32	      610	     1000	      307	      307	0.00
       32	      987	     1000	      520	      520	0.00
       32	     1597	     1000	     1372	     1372	0.00
       32	     2584	     1000	     2397	     2397	0.00
       32	     4181	     1000	     4101	     4101	0.00
       32	     6765	     1000	     6828	     6828	0.00
       32	    10946	     1000	     7071	     7071	0.00
       32	    17711	     1000	    11070	    11070	0.00
       32	    28657	     1000	    19338	    19338	0.00
       32	    46368	     1000	    26293	    26293	0.00
    
