
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      732	       24	0.00
        2	        2	    30000	      711	       23	0.00
        2	        3	    30000	      700	       23	0.00
        2	        5	    30000	      737	       24	0.00
        2	        8	    30000	      716	       23	0.00
        2	       13	    30000	      734	       24	0.00
        2	       21	    30000	      775	       25	0.00
        2	       34	    30000	      810	       27	0.00
        2	       55	    30000	      789	       26	0.00
        2	       89	    30000	      785	       26	0.00
        2	      144	    30000	      867	       28	0.00
        2	      233	    30000	      918	       30	0.00
        2	      377	    30000	      966	       32	0.00
        2	      610	    30000	     1114	       37	0.00
        2	      987	    30000	     1389	       46	0.00
        2	     1597	    30000	     1840	       61	0.00
        2	     2584	    30000	     2604	       86	0.00
        2	     4181	    30000	     3646	      121	0.00
        2	     6765	    30000	     5713	      190	0.00
        2	    10946	    30000	     8562	      285	0.00
        2	    17711	    30000	    13284	      442	0.00
        2	    28657	    30000	    21407	      713	0.00
        2	    46368	    30000	    34647	     1154	0.00
        4	        1	    30000	     1204	       40	0.00
        4	        2	    30000	     1188	       39	0.00
        4	        3	    30000	     1152	       38	0.00
        4	        5	    30000	     1178	       39	0.00
        4	        8	    30000	     1239	       41	0.00
        4	       13	    30000	     1204	       40	0.00
        4	       21	    30000	     1216	       40	0.00
        4	       34	    30000	     1208	       40	0.00
        4	       55	    30000	     1192	       39	0.00
        4	       89	    30000	     1280	       42	0.00
        4	      144	    30000	     1339	       44	0.00
        4	      233	    30000	     1385	       46	0.00
        4	      377	    30000	     1488	       49	0.00
        4	      610	    30000	     1586	       52	0.00
        4	      987	    30000	     1795	       59	0.00
        4	     1597	    30000	     2176	       72	0.00
        4	     2584	    30000	     2802	       93	0.00
        4	     4181	    30000	     3884	      129	0.00
        4	     6765	    30000	     5710	      190	0.00
        4	    10946	    30000	     8220	      274	0.00
        4	    17711	    30000	    12246	      408	0.00
        4	    28657	    30000	    19296	      643	0.00
        4	    46368	    30000	    30370	     1012	0.00
        8	        1	    30000	     2100	       70	0.00
        8	        2	    30000	     2128	       70	0.00
        8	        3	    30000	     2062	       68	0.00
        8	        5	    30000	     2063	       68	0.00
        8	        8	    30000	     2077	       69	0.00
        8	       13	    30000	     2086	       69	0.00
        8	       21	    30000	     2066	       68	0.00
        8	       34	    30000	     2116	       70	0.00
        8	       55	    30000	     2245	       74	0.00
        8	       89	    30000	     2169	       72	0.00
        8	      144	    30000	     2233	       74	0.00
        8	      233	    30000	     2426	       80	0.00
        8	      377	    30000	     2390	       79	0.00
        8	      610	    30000	     2494	       83	0.00
        8	      987	    30000	     2904	       96	0.00
        8	     1597	    30000	     3240	      108	0.00
        8	     2584	    30000	     4009	      133	0.00
        8	     4181	    30000	     5291	      176	0.00
        8	     6765	    30000	     7497	      249	0.00
        8	    10946	    30000	    10385	      346	0.00
        8	    17711	    30000	    15905	      530	0.00
        8	    28657	    30000	    23804	      793	0.00
        8	    46368	    30000	    36512	     1217	0.00
       16	        1	    30000	     3907	      130	0.00
       16	        2	    30000	     3997	      133	0.00
       16	        3	    30000	     3982	      132	0.00
       16	        5	    30000	     3957	      131	0.00
       16	        8	    30000	     4001	      133	0.00
       16	       13	    30000	     4005	      133	0.00
       16	       21	    30000	     3950	      131	0.00
       16	       34	    30000	     4026	      134	0.00
       16	       55	    30000	     3975	      132	0.00
       16	       89	    30000	     4065	      135	0.00
       16	      144	    30000	     4119	      137	0.00
       16	      233	    30000	     4212	      140	0.00
