
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	       61	        2	0.00
        2	        2	    30000	      110	        3	0.00
        2	        3	    30000	       56	        1	0.00
        2	        5	    30000	       57	        1	0.00
        2	        8	    30000	       71	        2	0.00
        2	       13	    30000	       65	        2	0.00
        2	       21	    30000	       79	        2	0.00
        2	       34	    30000	       78	        2	0.00
        2	       55	    30000	       94	        3	0.00
        2	       89	    30000	      132	        4	0.00
        2	      144	    30000	      163	        5	0.00
        2	      233	    30000	      242	        8	0.00
        2	      377	    30000	      342	       11	0.00
        2	      610	    30000	      518	       17	0.00
        2	      987	    30000	      737	       24	0.00
        2	     1597	    30000	     1171	       39	0.00
        2	     2584	    30000	     1895	       63	0.00
        2	     4181	    30000	     3024	      100	0.00
        2	     6765	    30000	     4962	      165	0.00
        2	    10946	    30000	     7964	      265	0.00
        2	    17711	    30000	    13131	      437	0.00
        2	    28657	    30000	    23682	      789	0.00
        2	    46368	    30000	    39947	     1331	0.00
        4	        1	    30000	       54	        1	0.00
        4	        2	    30000	       52	        1	0.00
        4	        3	    30000	       52	        1	0.00
        4	        5	    30000	       53	        1	0.00
        4	        8	    30000	       58	        1	0.00
        4	       13	    30000	       60	        2	0.00
        4	       21	    30000	       65	        2	0.00
        4	       34	    30000	       77	        2	0.00
        4	       55	    30000	       88	        2	0.00
        4	       89	    30000	      116	        3	0.00
        4	      144	    30000	      163	        5	0.00
        4	      233	    30000	      225	        7	0.00
        4	      377	    30000	      335	       11	0.00
        4	      610	    30000	      513	       17	0.00
        4	      987	    30000	      793	       26	0.00
        4	     1597	    30000	     1268	       42	0.00
        4	     2584	    30000	     2002	       66	0.00
        4	     4181	    30000	     3179	      105	0.00
        4	     6765	    30000	     5439	      181	0.00
        4	    10946	    30000	     9078	      302	0.00
        4	    17711	    30000	    14694	      489	0.00
        4	    28657	    30000	    25389	      846	0.00
        4	    46368	    30000	    46651	     1555	0.00
        8	        1	    30000	       57	        1	0.00
        8	        2	    30000	       60	        2	0.00
        8	        3	    30000	       59	        1	0.00
        8	        5	    30000	       60	        2	0.00
        8	        8	    30000	       64	        2	0.00
        8	       13	    30000	       70	        2	0.00
        8	       21	    30000	       74	        2	0.00
        8	       34	    30000	       87	        2	0.00
        8	       55	    30000	      107	        3	0.00
        8	       89	    30000	      138	        4	0.00
        8	      144	    30000	      196	        6	0.00
        8	      233	    30000	      268	        8	0.00
        8	      377	    30000	      400	       13	0.00
        8	      610	    30000	      580	       19	0.00
        8	      987	    30000	      911	       30	0.00
        8	     1597	    30000	     1490	       49	0.00
        8	     2584	    30000	     2352	       78	0.00
        8	     4181	    30000	     3918	      130	0.00
        8	     6765	    30000	     6534	      217	0.00
        8	    10946	    30000	    10530	      351	0.00
        8	    17711	    30000	    18348	      611	0.00
        8	    28657	    30000	    31888	     1062	0.00
        8	    46368	    30000	    63398	     2113	0.00
       16	        1	    30000	       65	        2	0.00
       16	        2	    30000	       58	        1	0.00
       16	        3	    30000	       62	        2	0.00
       16	        5	    30000	       65	        2	0.00
       16	        8	    30000	       72	        2	0.00
       16	       13	    30000	       75	        2	0.00
       16	       21	    30000	       83	        2	0.00
       16	       34	    30000	       99	        3	0.00
       16	       55	    30000	      124	        4	0.00
       16	       89	    30000	      160	        5	0.00
       16	      144	    30000	      220	        7	0.00
       16	      233	    30000	      316	       10	0.00
       16	      377	    30000	      498	       16	0.00
       16	      610	    30000	      762	       25	0.00
       16	      987	    30000	     1196	       39	0.00
       16	     1597	    30000	     1818	       60	0.00
       16	     2584	    30000	     3123	      104	0.00
       16	     4181	    30000	     5072	      169	0.00
       16	     6765	    30000	     8118	      270	0.00
       16	    10946	    30000	    13729	      457	0.00
       16	    17711	    30000	    25006	      833	0.00
       16	    28657	    30000	    48241	     1608	0.00
       16	    46368	    30000	   102621	     3420	0.00
       24	        1	    30000	       72	        2	0.00
       24	        2	    30000	       75	        2	0.00
       24	        3	    30000	       77	        2	0.00
       24	        5	    30000	       75	        2	0.00
       24	        8	    30000	       79	        2	0.00
       24	       13	    30000	       86	        2	0.00
       24	       21	    30000	      101	        3	0.00
       24	       34	    30000	      118	        3	0.00
       24	       55	    30000	      148	        4	0.00
       24	       89	    30000	      189	        6	0.00
       24	      144	    30000	      261	        8	0.00
       24	      233	    30000	      380	       12	0.00
       24	      377	    30000	      571	       19	0.00
       24	      610	    30000	      890	       29	0.00
       24	      987	    30000	     1407	       46	0.00
       24	     1597	    30000	     2233	       74	0.00
       24	     2584	    30000	     3579	      119	0.00
       24	     4181	    30000	     6020	      200	0.00
       24	     6765	    30000	    10072	      335	0.00
       24	    10946	    30000	    17135	      571	0.00
       24	    17711	    30000	    32715	     1090	0.00
       24	    28657	    30000	    65378	     2179	0.00
       24	    46368	    30000	   155125	     5170	0.00
       32	        1	    30000	       73	        2	0.00
       32	        2	    30000	       74	        2	0.00
       32	        3	    30000	       82	        2	0.00
       32	        5	    30000	       81	        2	0.00
       32	        8	    30000	       85	        2	0.00
       32	       13	    30000	       94	        3	0.00
       32	       21	    30000	      104	        3	0.00
       32	       34	    30000	      132	        4	0.00
       32	       55	    30000	      156	        5	0.00
       32	       89	    30000	      205	        6	0.00
       32	      144	    30000	      288	        9	0.00
       32	      233	    30000	      425	       14	0.00
       32	      377	    30000	      652	       21	0.00
       32	      610	    30000	      982	       32	0.00
       32	      987	    30000	     1587	       52	0.00
       32	     1597	    30000	     2545	       84	0.00
       32	     2584	    30000	     4142	      138	0.00
