
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      205	        6	0.00
        2	        2	    30000	      147	        4	0.00
        2	        3	    30000	      104	        3	0.00
        2	        5	    30000	      128	        4	0.00
        2	        8	    30000	       77	        2	0.00
        2	       13	    30000	      118	        3	0.00
        2	       21	    30000	      104	        3	0.00
        2	       34	    30000	       91	        3	0.00
        2	       55	    30000	       78	        2	0.00
        2	       89	    30000	      105	        3	0.00
        2	      144	    30000	       91	        3	0.00
        2	      233	    30000	      149	        4	0.00
        2	      377	    30000	      195	        6	0.00
        2	      610	    30000	      201	        6	0.00
        2	      987	    30000	      246	        8	0.00
        2	     1597	    30000	      330	       11	0.00
        2	     2584	    30000	      469	       15	0.00
        2	     4181	    30000	      841	       28	0.00
        2	     6765	    30000	     1173	       39	0.00
        2	    10946	    30000	     2448	       81	0.00
        2	    17711	    30000	     8409	      280	0.00
        2	    28657	    30000	     6707	      223	0.00
        2	    46368	    30000	    11642	      388	0.00
        4	        1	    30000	       89	        2	0.00
        4	        2	    30000	      106	        3	0.00
        4	        3	    30000	       83	        2	0.00
        4	        5	    30000	       85	        2	0.00
        4	        8	    30000	       79	        2	0.00
        4	       13	    30000	       81	        2	0.00
        4	       21	    30000	       77	        2	0.00
        4	       34	    30000	       86	        2	0.00
        4	       55	    30000	       89	        2	0.00
        4	       89	    30000	       99	        3	0.00
        4	      144	    30000	       97	        3	0.00
        4	      233	    30000	       98	        3	0.00
        4	      377	    30000	      106	        3	0.00
        4	      610	    30000	      121	        4	0.00
        4	      987	    30000	      220	        7	0.00
        4	     1597	    30000	      185	        6	0.00
        4	     2584	    30000	      250	        8	0.00
        4	     4181	    30000	      315	       10	0.00
        4	     6765	    30000	      653	       21	0.00
        4	    10946	    30000	      744	       24	0.00
        4	    17711	    30000	     1030	       34	0.00
        4	    28657	    30000	     1625	       54	0.00
        4	    46368	    30000	     2147	       71	0.00
        8	        1	    30000	       82	        2	0.00
        8	        2	    30000	       87	        2	0.00
        8	        3	    30000	       83	        2	0.00
        8	        5	    30000	       86	        2	0.00
        8	        8	    30000	       84	        2	0.00
        8	       13	    30000	       87	        2	0.00
        8	       21	    30000	       84	        2	0.00
        8	       34	    30000	       84	        2	0.00
        8	       55	    30000	       89	        2	0.00
        8	       89	    30000	       89	        2	0.00
        8	      144	    30000	       98	        3	0.00
        8	      233	    30000	      100	        3	0.00
        8	      377	    30000	      112	        3	0.00
        8	      610	    30000	      128	        4	0.00
        8	      987	    30000	      153	        5	0.00
        8	     1597	    30000	      189	        6	0.00
        8	     2584	    30000	      252	        8	0.00
        8	     4181	    30000	      364	       12	0.00
        8	     6765	    30000	      530	       17	0.00
        8	    10946	    30000	     1269	       42	0.00
        8	    17711	    30000	     1376	       45	0.00
        8	    28657	    30000	     1833	       61	0.00
        8	    46368	    30000	     2791	       93	0.00
       16	        1	    30000	       96	        3	0.00
       16	        2	    30000	       97	        3	0.00
       16	        3	    30000	       92	        3	0.00
       16	        5	    30000	       95	        3	0.00
       16	        8	    30000	       91	        3	0.00
       16	       13	    30000	       95	        3	0.00
       16	       21	    30000	       96	        3	0.00
       16	       34	    30000	       94	        3	0.00
       16	       55	    30000	       97	        3	0.00
       16	       89	    30000	       99	        3	0.00
       16	      144	    30000	      102	        3	0.00
       16	      233	    30000	      115	        3	0.00
