
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      280	        9	0.00
        2	        2	    30000	      187	        6	0.00
        2	        3	    30000	       91	        3	0.00
        2	        5	    30000	       93	        3	0.00
        2	        8	    30000	       76	        2	0.00
        2	       13	    30000	       62	        2	0.00
        2	       21	    30000	       68	        2	0.00
        2	       34	    30000	       69	        2	0.00
        2	       55	    30000	       78	        2	0.00
        2	       89	    30000	       91	        3	0.00
        2	      144	    30000	      116	        3	0.00
        2	      233	    30000	      147	        4	0.00
        2	      377	    30000	      148	        4	0.00
        2	      610	    30000	      155	        5	0.00
        2	      987	    30000	      180	        6	0.00
        2	     1597	    30000	      254	        8	0.00
        2	     2584	    30000	      321	       10	0.00
        2	     4181	    30000	      446	       14	0.00
        2	     6765	    30000	      567	       18	0.00
        2	    10946	    30000	      991	       33	0.00
        2	    17711	    30000	     1352	       45	0.00
        2	    28657	    30000	     2202	       73	0.00
        2	    46368	    30000	     3896	      129	0.00
        4	        1	    30000	       58	        1	0.00
        4	        2	    30000	       56	        1	0.00
        4	        3	    30000	       59	        1	0.00
        4	        5	    30000	       55	        1	0.00
        4	        8	    30000	       61	        2	0.00
        4	       13	    30000	       60	        2	0.00
        4	       21	    30000	       66	        2	0.00
        4	       34	    30000	       69	        2	0.00
        4	       55	    30000	       78	        2	0.00
        4	       89	    30000	       95	        3	0.00
        4	      144	    30000	      131	        4	0.00
        4	      233	    30000	      170	        5	0.00
        4	      377	    30000	      152	        5	0.00
        4	      610	    30000	      165	        5	0.00
        4	      987	    30000	      185	        6	0.00
        4	     1597	    30000	      239	        7	0.00
        4	     2584	    30000	      327	       10	0.00
        4	     4181	    30000	      446	       14	0.00
        4	     6765	    30000	      700	       23	0.00
        4	    10946	    30000	     1047	       34	0.00
        4	    17711	    30000	     1593	       53	0.00
        4	    28657	    30000	     2711	       90	0.00
        4	    46368	    30000	    14829	      494	0.00
        8	        1	    30000	       65	        2	0.00
        8	        2	    30000	       52	        1	0.00
        8	        3	    30000	       72	        2	0.00
        8	        5	    30000	       58	        1	0.00
        8	        8	    30000	       56	        1	0.00
        8	       13	    30000	       66	        2	0.00
        8	       21	    30000	       97	        3	0.00
        8	       34	    30000	      135	        4	0.00
        8	       55	    30000	      176	        5	0.00
        8	       89	    30000	      121	        4	0.00
        8	      144	    30000	      159	        5	0.00
        8	      233	    30000	      187	        6	0.00
        8	      377	    30000	      158	        5	0.00
        8	      610	    30000	      191	        6	0.00
        8	      987	    30000	      250	        8	0.00
        8	     1597	    30000	      315	       10	0.00
        8	     2584	    30000	      412	       13	0.00
        8	     4181	    30000	      584	       19	0.00
        8	     6765	    30000	      663	       22	0.00
        8	    10946	    30000	     1173	       39	0.00
        8	    17711	    30000	     1931	       64	0.00
        8	    28657	    30000	     3010	      100	0.00
        8	    46368	    30000	    11682	      389	0.00
       16	        1	    30000	       67	        2	0.00
       16	        2	    30000	       61	        2	0.00
       16	        3	    30000	       64	        2	0.00
       16	        5	    30000	       66	        2	0.00
       16	        8	    30000	       66	        2	0.00
