
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	     1000	     1697	     1697	0.00
        2	        2	     1000	      130	      130	0.00
        2	        3	     1000	      311	      311	0.00
        2	        5	     1000	       57	       57	0.00
        2	        8	     1000	       84	       84	0.00
        2	       13	     1000	       64	       64	0.00
        2	       21	     1000	       57	       57	0.00
        2	       34	     1000	       40	       40	0.00
        2	       55	     1000	       66	       66	0.00
        2	       89	     1000	      106	      106	0.00
        2	      144	     1000	      100	      100	0.00
        2	      233	     1000	      135	      135	0.00
        2	      377	     1000	      164	      164	0.00
        2	      610	     1000	      241	      241	0.00
        2	      987	     1000	      409	      409	0.00
        2	     1597	     1000	      439	      439	0.00
        2	     2584	     1000	      642	      642	0.00
        2	     4181	     1000	      990	      990	0.00
        2	     6765	     1000	     2321	     2321	0.00
        2	    10946	     1000	     4374	     4374	0.00
        2	    17711	     1000	     6826	     6826	0.00
        2	    28657	     1000	     5950	     5950	0.00
        2	    46368	     1000	     9123	     9123	0.00
        4	        1	     1000	        3	        3	0.00
        4	        2	     1000	        3	        3	0.00
        4	        3	     1000	        3	        3	0.00
        4	        5	     1000	        4	        4	0.00
        4	        8	     1000	        4	        4	0.00
        4	       13	     1000	        5	        5	0.00
        4	       21	     1000	        7	        7	0.00
        4	       34	     1000	        9	        9	0.00
        4	       55	     1000	       16	       16	0.00
        4	       89	     1000	       19	       19	0.00
        4	      144	     1000	       30	       30	0.00
        4	      233	     1000	       46	       46	0.00
        4	      377	     1000	       78	       78	0.00
        4	      610	     1000	      121	      121	0.00
        4	      987	     1000	      192	      192	0.00
        4	     1597	     1000	      305	      305	0.00
        4	     2584	     1000	      517	      517	0.00
        4	     4181	     1000	      790	      790	0.00
        4	     6765	     1000	     1291	     1291	0.00
        4	    10946	     1000	     2185	     2185	0.00
        4	    17711	     1000	     3528	     3528	0.00
        4	    28657	     1000	     5882	     5882	0.00
        4	    46368	     1000	    10749	    10749	0.00
        8	        1	     1000	        3	        3	0.00
        8	        2	     1000	        4	        4	0.00
        8	        3	     1000	        4	        4	0.00
        8	        5	     1000	        4	        4	0.00
        8	        8	     1000	        5	        5	0.00
        8	       13	     1000	        7	        7	0.00
        8	       21	     1000	       11	       11	0.00
        8	       34	     1000	       11	       11	0.00
        8	       55	     1000	       17	       17	0.00
        8	       89	     1000	       25	       25	0.00
        8	      144	     1000	       39	       39	0.00
        8	      233	     1000	       63	       63	0.00
        8	      377	     1000	       98	       98	0.00
        8	      610	     1000	      154	      154	0.00
        8	      987	     1000	      247	      247	0.00
        8	     1597	     1000	      416	      416	0.00
        8	     2584	     1000	      653	      653	0.00
        8	     4181	     1000	     1036	     1036	0.00
        8	     6765	     1000	     1705	     1705	0.00
        8	    10946	     1000	     3834	     3834	0.00
        8	    17711	     1000	     5214	     5214	0.00
        8	    28657	     1000	     9344	     9344	0.00
        8	    46368	     1000	    13549	    13549	0.00
       16	        1	     1000	        4	        4	0.00
       16	        2	     1000	        4	        4	0.00
       16	        3	     1000	        5	        5	0.00
       16	        5	     1000	        5	        5	0.00
       16	        8	     1000	        6	        6	0.00
       16	       13	     1000	       11	       11	0.00
       16	       21	     1000	       10	       10	0.00
       16	       34	     1000	       15	       15	0.00
       16	       55	     1000	       22	       22	0.00
       16	       89	     1000	       34	       34	0.00
       16	      144	     1000	       55	       55	0.00
       16	      233	     1000	       84	       84	0.00
       16	      377	     1000	      131	      131	0.00
       16	      610	     1000	      212	      212	0.00
       16	      987	     1000	      339	      339	0.00
       16	     1597	     1000	      557	      557	0.00
       16	     2584	     1000	     1096	     1096	0.00
       16	     4181	     1000	     1643	     1643	0.00
       16	     6765	     1000	     4865	     4865	0.00
       16	    10946	     1000	     5746	     5746	0.00
       16	    17711	     1000	    11715	    11715	0.00
       16	    28657	     1000	    18091	    27091	0.00
       16	    46368	     1000	    21027	    21027	0.00
       24	        1	     1000	        4	        4	0.00
       24	        2	     1000	        4	        4	0.00
       24	        3	     1000	        5	        5	0.00
       24	        5	     1000	        5	        5	0.00
       24	        8	     1000	        6	        6	0.00
       24	       13	     1000	        7	        7	0.00
       24	       21	     1000	       11	       11	0.00
       24	       34	     1000	       17	       17	0.00
       24	       55	     1000	       26	       26	0.00
       24	       89	     1000	       49	       49	0.00
       24	      144	     1000	       74	       74	0.00
       24	      233	     1000	      105	      105	0.00
       24	      377	     1000	      167	      167	0.00
       24	      610	     1000	      266	      266	0.00
       24	      987	     1000	      456	      456	0.00
       24	     1597	     1000	     1345	     1345	0.00
       24	     2584	     1000	     3354	     3354	0.00
       24	     4181	     1000	     2853	     2853	0.00
       24	     6765	     1000	     3443	     3443	0.00
       24	    10946	     1000	     7638	     7638	0.00
       24	    17711	     1000	    20721	    20721	0.00
       24	    28657	     1000	    17724	    17724	0.00
       24	    46368	     1000	    22934	    22934	0.00
       32	        1	     1000	        4	        4	0.00
       32	        2	     1000	        4	        4	0.00
       32	        3	     1000	        5	        5	0.00
       32	        5	     1000	        6	        6	0.00
       32	        8	     1000	        8	        8	0.00
       32	       13	     1000	       10	       10	0.00
       32	       21	     1000	       30	       30	0.00
       32	       34	     1000	       20	       20	0.00
       32	       55	     1000	       31	       31	0.00
       32	       89	     1000	       55	       55	0.00
       32	      144	     1000	       86	       86	0.00
       32	      233	     1000	      134	      134	0.00
       32	      377	     1000	      216	      216	0.00
       32	      610	     1000	      344	      344	0.00
