
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	     1118	       37	0.00
        2	        2	    30000	     1148	       38	0.00
        2	        3	    30000	      857	       28	0.00
        2	        5	    30000	      964	       32	0.00
        2	        8	    30000	     1411	       47	0.00
        2	       13	    30000	      706	       23	0.00
        2	       21	    30000	     1041	       34	0.00
        2	       34	    30000	      973	       32	0.00
        2	       55	    30000	      773	       25	0.00
        2	       89	    30000	      773	       25	0.00
        2	      144	    30000	     1248	       41	0.00
        2	      233	    30000	      851	       28	0.00
        2	      377	    30000	      954	       31	0.00
        2	      610	    30000	     1141	       38	0.00
        2	      987	    30000	     1351	       45	0.00
        2	     1597	    30000	     2045	       68	0.00
        2	     2584	    30000	     2552	       85	0.00
        2	     4181	    30000	     3784	      126	0.00
        2	     6765	    30000	     6504	      216	0.00
        2	    10946	    30000	    10157	      338	0.00
        2	    17711	    30000	    15881	      529	0.00
        2	    28657	    30000	    21608	      720	0.00
        2	    46368	    30000	    34731	     1157	0.00
        4	        1	    30000	     1266	       42	0.00
        4	        2	    30000	     1204	       40	0.00
        4	        3	    30000	     1316	       43	0.00
        4	        5	    30000	     1196	       39	0.00
        4	        8	    30000	     1255	       41	0.00
        4	       13	    30000	     1344	       44	0.00
        4	       21	    30000	     1249	       41	0.00
        4	       34	    30000	     1307	       43	0.00
        4	       55	    30000	     1230	       41	0.00
        4	       89	    30000	     1323	       44	0.00
        4	      144	    30000	     1274	       42	0.00
        4	      233	    30000	     1424	       47	0.00
        4	      377	    30000	     1518	       50	0.00
        4	      610	    30000	     1633	       54	0.00
        4	      987	    30000	     1829	       60	0.00
        4	     1597	    30000	     2262	       75	0.00
        4	     2584	    30000	     2829	       94	0.00
        4	     4181	    30000	     3854	      128	0.00
        4	     6765	    30000	     5432	      181	0.00
        4	    10946	    30000	     8437	      281	0.00
        4	    17711	    30000	    14161	      472	0.00
        4	    28657	    30000	    21913	      730	0.00
        4	    46368	    30000	    37124	     1237	0.00
        8	        1	    30000	     2267	       75	0.00
        8	        2	    30000	     2475	       82	0.00
        8	        3	    30000	     2280	       76	0.00
        8	        5	    30000	     2143	       71	0.00
        8	        8	    30000	     2174	       72	0.00
        8	       13	    30000	     2192	       73	0.00
        8	       21	    30000	     2268	       75	0.00
        8	       34	    30000	     2083	       69	0.00
        8	       55	    30000	     2179	       72	0.00
        8	       89	    30000	     3035	      101	0.00
        8	      144	    30000	     2331	       77	0.00
        8	      233	    30000	     2301	       76	0.00
        8	      377	    30000	     2500	       83	0.00
        8	      610	    30000	     2761	       92	0.00
        8	      987	    30000	     3776	      125	0.00
        8	     1597	    30000	     4351	      145	0.00
        8	     2584	    30000	     4169	      138	0.00
