
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      130	        4	0.00
        2	        2	    30000	       60	        2	0.00
        2	        3	    30000	       58	        1	0.00
        2	        5	    30000	       90	        3	0.00
        2	        8	    30000	       78	        2	0.00
        2	       13	    30000	      153	        5	0.00
        2	       21	    30000	      148	        4	0.00
        2	       34	    30000	      202	        6	0.00
        2	       55	    30000	      184	        6	0.00
        2	       89	    30000	      142	        4	0.00
        2	      144	    30000	      207	        6	0.00
        2	      233	    30000	      313	       10	0.00
        2	      377	    30000	      358	       11	0.00
        2	      610	    30000	      594	       19	0.00
        2	      987	    30000	      966	       32	0.00
        2	     1597	    30000	     1505	       50	0.00
        2	     2584	    30000	     2259	       75	0.00
        2	     4181	    30000	     4139	      137	0.00
        2	     6765	    30000	     8165	      272	0.00
        2	    10946	    30000	     9754	      325	0.00
        2	    17711	    30000	    22548	      751	0.00
        2	    28657	    30000	    24983	      832	0.00
        2	    46368	    30000	    47850	     1595	0.00
        4	        1	    30000	       52	        1	0.00
        4	        2	    30000	       52	        1	0.00
        4	        3	    30000	       56	        1	0.00
        4	        5	    30000	       55	        1	0.00
        4	        8	    30000	       57	        1	0.00
        4	       13	    30000	       61	        2	0.00
        4	       21	    30000	       70	        2	0.00
        4	       34	    30000	       78	        2	0.00
        4	       55	    30000	       93	        3	0.00
        4	       89	    30000	      120	        4	0.00
        4	      144	    30000	      161	        5	0.00
        4	      233	    30000	      231	        7	0.00
        4	      377	    30000	      347	       11	0.00
        4	      610	    30000	      664	       22	0.00
        4	      987	    30000	      861	       28	0.00
        4	     1597	    30000	     1375	       45	0.00
        4	     2584	    30000	     2221	       74	0.00
        4	     4181	    30000	     3375	      112	0.00
        4	     6765	    30000	     6097	      203	0.00
        4	    10946	    30000	    11740	      391	0.00
        4	    17711	    30000	    21390	      713	0.00
        4	    28657	    30000	    39876	     1329	0.00
        4	    46368	    30000	    51267	     1708	0.00
        8	        1	    30000	       61	        2	0.00
        8	        2	    30000	       59	        1	0.00
        8	        3	    30000	       61	        2	0.00
        8	        5	    30000	       62	        2	0.00
        8	        8	    30000	       69	        2	0.00
        8	       13	    30000	       72	        2	0.00
        8	       21	    30000	       78	        2	0.00
        8	       34	    30000	       91	        3	0.00
        8	       55	    30000	      109	        3	0.00
        8	       89	    30000	      143	        4	0.00
        8	      144	    30000	      195	        6	0.00
        8	      233	    30000	      276	        9	0.00
        8	      377	    30000	      409	       13	0.00
        8	      610	    30000	      637	       21	0.00
        8	      987	    30000	      975	       32	0.00
        8	     1597	    30000	     1557	       51	0.00
        8	     2584	    30000	     2697	       89	0.00
        8	     4181	    30000	     4117	      137	0.00
        8	     6765	    30000	     7029	      234	0.00
        8	    10946	    30000	    11982	      399	0.00
        8	    17711	    30000	    26141	      871	0.00
        8	    28657	    30000	    46569	     1552	0.00
        8	    46368	    30000	    83296	     2776	0.00
       16	        1	    30000	       74	        2	0.00
       16	        2	    30000	       75	        2	0.00
       16	        3	    30000	       74	        2	0.00
       16	        5	    30000	       71	        2	0.00
       16	        8	    30000	       83	        2	0.00
       16	       13	    30000	       93	        3	0.00
       16	       21	    30000	      109	        3	0.00
       16	       34	    30000	      122	        4	0.00
       16	       55	    30000	      153	        5	0.00
       16	       89	    30000	      200	        6	0.00
       16	      144	    30000	      269	        8	0.00
       16	      233	    30000	      396	       13	0.00
       16	      377	    30000	      583	       19	0.00
       16	      610	    30000	      848	       28	0.00
       16	      987	    30000	     1299	       43	0.00
       16	     1597	    30000	     2167	       72	0.00
       16	     2584	    30000	     3783	      126	0.00
       16	     4181	    30000	     6171	      205	0.00
       16	     6765	    30000	    13585	      452	0.00
       16	    10946	    30000	    19043	      634	0.00
       16	    17711	    30000	    29830	      994	0.00
       16	    28657	    30000	    62616	     2087	0.00
       16	    46368	    30000	   143535	     4784	0.00
       24	        1	    30000	       65	        2	0.00
       24	        2	    30000	       68	        2	0.00
       24	        3	    30000	       73	        2	0.00
       24	        5	    30000	       73	        2	0.00
       24	        8	    30000	       77	        2	0.00
       24	       13	    30000	       88	        2	0.00
       24	       21	    30000	       94	        3	0.00
       24	       34	    30000	      109	        3	0.00
       24	       55	    30000	      141	        4	0.00
       24	       89	    30000	      183	        6	0.00
       24	      144	    30000	      257	        8	0.00
       24	      233	    30000	      364	       12	0.00
       24	      377	    30000	      556	       18	0.00
       24	      610	    30000	      851	       28	0.00
       24	      987	    30000	     1336	       44	0.00
       24	     1597	    30000	     2318	       77	0.00
       24	     2584	    30000	     3571	      119	0.00
       24	     4181	    30000	     5958	      198	0.00
       24	     6765	    30000	    10657	      355	0.00
       24	    10946	    30000	    19599	      653	0.00
       24	    17711	    30000	    36251	     1208	0.00
       24	    28657	    30000	    85237	     2841	0.00
       24	    46368	    30000	   216070	     7202	0.00
       32	        1	    30000	       79	        2	0.00
       32	        2	    30000	       70	        2	0.00
       32	        3	    30000	       78	        2	0.00
       32	        5	    30000	       77	        2	0.00
       32	        8	    30000	       82	        2	0.00
       32	       13	    30000	       95	        3	0.00
       32	       21	    30000	      101	        3	0.00
       32	       34	    30000	      120	        4	0.00
       32	       55	    30000	      158	        5	0.00
       32	       89	    30000	      202	        6	0.00
       32	      144	    30000	      289	        9	0.00
       32	      233	    30000	      415	       13	0.00
       32	      377	    30000	      624	       20	0.00
       32	      610	    30000	      972	       32	0.00
       32	      987	    30000	     1623	       54	0.00
       32	     1597	    30000	     2467	       82	0.00
       32	     2584	    30000	     5189	      172	0.00
       32	     4181	    30000	     7163	      238	0.00
       32	     6765	    30000	    12918	      430	0.00
       32	    10946	    30000	    29536	      984	0.00
       32	    17711	    30000	    54762	     1825	0.00
       32	    28657	    30000	   111969	     3732	0.00
       32	    46368	    30000	   265996	     8866	0.00
    
