    rules	   points	   timeMs	timeNormUs	matchesPercent
        1	    30000	     2163	       72	0.00
        2	    30000	      436	       14	0.00
        3	    30000	      235	        7	0.00
        5	    30000	      202	        6	0.00
        8	    30000	      192	        6	0.00
       13	    30000	      170	        5	0.00
       21	    30000	      146	        4	0.00
       34	    30000	      282	        9	0.00
       55	    30000	      194	        6	0.00
       89	    30000	      389	       12	0.00
      144	    30000	      600	       20	0.00
      233	    30000	      546	       18	0.00
      377	    30000	      613	       20	0.00
      610	    30000	      887	       29	0.00
      987	    30000	     2455	       81	0.00
     1597	    30000	     5660	      188	0.00
     2584	    30000	     8669	      288	0.00
     4181	    30000	     8340	      278	0.00
     6765	    30000	    22412	      747	0.00
    10946	    30000	    30720	     1024	0.00
    17711	    30000	    42054	     1401	0.00
    28657	    30000	    65185	     2172	0.00
    46368	    30000	    99111	     3303	0.00
