    rules	   points	   timeMs	timeNormUs	matchesPercent
        1	    30000	     2026	       67	0.00
        2	    30000	      390	       13	0.00
        3	    30000	      358	       11	0.00
        5	    30000	      210	        7	0.00
        8	    30000	      157	        5	0.00
       13	    30000	      163	        5	0.00
       21	    30000	      147	        4	0.00
       34	    30000	      163	        5	0.00
       55	    30000	      181	        6	0.00
       89	    30000	      457	       15	0.00
      144	    30000	      605	       20	0.00
      233	    30000	      688	       22	0.00
      377	    30000	      764	       25	0.00
      610	    30000	     1036	       34	0.00
      987	    30000	     1381	       46	0.00
     1597	    30000	     1853	       61	0.00
     2584	    30000	     2170	       72	0.00
     4181	    30000	     9637	      321	0.00
     6765	    30000	    11358	      378	0.00
    10946	    30000	    22041	      734	0.00
    17711	    30000	    23763	      792	0.00
    28657	    30000	    26572	      885	0.00
    46368	    30000	    58780	     1959	0.00
