    rules	   points	   timeMs	timeNormUs	matchesPercent
        1	    30000	     2788	       92	0.00
        2	    30000	     1898	       63	0.00
        3	    30000	     1935	       64	0.00
        5	    30000	     1621	       54	0.00
        8	    30000	     1664	       55	0.00
       13	    30000	     1555	       51	0.00
       21	    30000	     1621	       54	0.00
       34	    30000	     1662	       55	0.00
       55	    30000	     1547	       51	0.00
       89	    30000	     1722	       57	0.00
      144	    30000	     1809	       60	0.00
      233	    30000	     1684	       56	0.00
      377	    30000	     1985	       66	0.00
      610	    30000	     2218	       73	0.00
      987	    30000	     2436	       81	0.00
     1597	    30000	     2878	       95	0.00
     2584	    30000	     3426	      114	0.00
     4181	    30000	     4889	      162	0.00
     6765	    30000	     7411	      247	0.00
    10946	    30000	    10430	      347	0.00
    17711	    30000	    16045	      534	0.00
    28657	    30000	    25245	      841	0.00
    46368	    30000	    46912	     1563	0.00
