    rules	   points	   timeMs	timeNormUs	matchesPercent
        1	    30000	     1355	       45	0.00
        2	    30000	      317	       10	0.00
        3	    30000	      157	        5	0.00
        5	    30000	       74	        2	0.00
        8	    30000	       87	        2	0.00
       13	    30000	       71	        2	0.00
       21	    30000	       85	        2	0.00
       34	    30000	       99	        3	0.00
       55	    30000	      125	        4	0.00
       89	    30000	      222	        7	0.00
      144	    30000	      341	       11	0.00
      233	    30000	      428	       14	0.00
      377	    30000	      524	       17	0.00
      610	    30000	      751	       25	0.00
      987	    30000	     1133	       37	0.00
     1597	    30000	     1851	       61	0.00
     2584	    30000	     3051	      101	0.00
     4181	    30000	     5768	      192	0.00
     6765	    30000	     9812	      327	0.00
    10946	    30000	    24721	      824	0.00
    17711	    30000	    82830	     2761	0.00
    28657	    30000	   162199	     5406	0.00
    46368	    30000	   389166	    12972	0.00
