    rules	   points	   timeMs	timeNormUs	matchesPercent
        1	    30000	    56561	      188	0.00
        2	    30000	    47291	      157	0.00
        3	    30000	    46110	      153	0.00
        5	    30000	    49785	      165	0.00
        8	    30000	    49223	      164	0.00
       13	    30000	    50094	      166	0.00
       21	    30000	    48780	      162	0.00
       34	    30000	    48590	      161	0.00
       55	    30000	    50238	      167	0.00
       89	    30000	    50008	      166	0.00
      144	    30000	    52837	      176	0.00
      233	    30000	    52698	      175	0.00
      377	    30000	    54934	      183	0.00
      610	    30000	    58674	      195	0.00
      987	    30000	    61205	      204	0.00
     1597	    30000	    67398	      224	0.00
     2584	    30000	    79492	      264	0.00
     4181	    30000	   106208	      354	0.00
     6765	    30000	   141412	      471	0.00
    10946	    30000	   202087	      673	0.00
    17711	    30000	   298098	      993	0.00
    28657	    30000	   455962	     1519	0.00
    46368	    30000	   707287	     2357	0.00
    75025	    30000	  1158511	     3861	0.00
   121393	    30000	  1858537	     6195	0.00
   196418	    30000	  2947979	     9826	0.00
