
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      190	        6	82400.00
        2	        2	    30000	      162	        5	27200.00
        2	        3	    30000	      123	        4	76300.00
        2	        5	    30000	      165	        5	133340.00
        2	        8	    30000	      145	        4	125675.00
        2	       13	    30000	      144	        4	113284.62
        2	       21	    30000	      289	        9	231966.67
        2	       34	    30000	      214	        7	128158.82
        2	       55	    30000	      235	        7	97852.73
        2	       89	    30000	      353	       11	133168.54
        2	      144	    30000	      538	       17	131929.86
        2	      233	    30000	      655	       21	125580.26
        2	      377	    30000	     1044	       34	116824.40
        2	      610	    30000	     1498	       49	115373.61
        2	      987	    30000	     2436	       81	121792.10
        2	     1597	    30000	     3925	      130	120474.39
        2	     2584	    30000	     8187	      272	120851.97
        2	     4181	    30000	    10344	      344	120572.88
        2	     6765	    30000	    18590	      619	119062.60
        2	    10946	    30000	    30731	     1024	123052.77
        2	    17711	    30000	    51587	     1719	120817.88
        2	    28657	    30000	    88674	     2955	121090.63
        2	    46368	    30000	   147166	     4905	120051.86
        4	        1	    30000	      187	        6	13700.00
        4	        2	    30000	      259	        8	450.00
        4	        3	    30000	      123	        4	1066.67
        4	        5	    30000	      106	        3	4420.00
        4	        8	    30000	      107	        3	1287.50
        4	       13	    30000	      148	        4	16330.77
        4	       21	    30000	      262	        8	27609.52
        4	       34	    30000	      235	        7	3661.76
        4	       55	    30000	      132	        4	4596.36
        4	       89	    30000	      136	        4	2587.64
        4	      144	    30000	      324	       10	4936.11
        4	      233	    30000	      252	        8	3918.88
        4	      377	    30000	      230	        7	2958.62
        4	      610	    30000	      485	       16	5043.93
        4	      987	    30000	     1067	       35	4997.77
        4	     1597	    30000	     1077	       35	4617.16
        4	     2584	    30000	     1142	       38	5301.04
        4	     4181	    30000	     1658	       55	4567.40
        4	     6765	    30000	     2645	       88	4986.21
        4	    10946	    30000	     3213	      107	4957.03
        4	    17711	    30000	     5292	      176	4855.03
        4	    28657	    30000	     7563	      252	4810.37
        4	    46368	    30000	    13608	      453	5037.17
        8	        1	    30000	      121	        4	0.00
        8	        2	    30000	      108	        3	0.00
        8	        3	    30000	      102	        3	133.33
        8	        5	    30000	      117	        3	0.00
        8	        8	    30000	      112	        3	25.00
        8	       13	    30000	      104	        3	0.00
        8	       21	    30000	      147	        4	4.76
        8	       34	    30000	      128	        4	0.00
        8	       55	    30000	      122	        4	5.45
        8	       89	    30000	      144	        4	1.12
        8	      144	    30000	      155	        5	6.25
        8	      233	    30000	      181	        6	2.15
        8	      377	    30000	      228	        7	6.37
        8	      610	    30000	      309	       10	6.23
        8	      987	    30000	      395	       13	5.78
        8	     1597	    30000	      585	       19	8.70
        8	     2584	    30000	      907	       30	7.66
        8	     4181	    30000	     1207	       40	9.61
        8	     6765	    30000	     2226	       74	8.59
        8	    10946	    30000	     3196	      106	8.19
        8	    17711	    30000	     6189	      206	8.28
        8	    28657	    30000	     7721	      257	6.93
        8	    46368	    30000	    10512	      350	7.02
       16	        1	    30000	      126	        4	0.00
       16	        2	    30000	      161	        5	0.00
       16	        3	    30000	      144	        4	0.00
       16	        5	    30000	      137	        4	0.00
       16	        8	    30000	      129	        4	0.00
       16	       13	    30000	      133	        4	0.00
       16	       21	    30000	      130	        4	0.00
       16	       34	    30000	      171	        5	0.00
       16	       55	    30000	      354	       11	0.00
       16	       89	    30000	      166	        5	0.00
       16	      144	    30000	      214	        7	0.00
       16	      233	    30000	      232	        7	0.00
       16	      377	    30000	      281	        9	0.00
       16	      610	    30000	      370	       12	0.00
       16	      987	    30000	      531	       17	0.00
       16	     1597	    30000	      770	       25	0.00
       16	     2584	    30000	     1630	       54	0.00
       16	     4181	    30000	     1711	       57	0.00
       16	     6765	    30000	     2628	       87	0.00
       16	    10946	    30000	     4072	      135	0.00
       16	    17711	    30000	     8668	      288	0.00
       16	    28657	    30000	    13084	      436	0.00
       16	    46368	    30000	    15431	      514	0.00
       24	        1	    30000	      158	        5	0.00
       24	        2	    30000	      161	        5	0.00
       24	        3	    30000	      168	        5	0.00
       24	        5	    30000	      152	        5	0.00
       24	        8	    30000	      166	        5	0.00
       24	       13	    30000	      170	        5	0.00
       24	       21	    30000	      158	        5	0.00
       24	       34	    30000	      181	        6	0.00
       24	       55	    30000	      196	        6	0.00
       24	       89	    30000	      197	        6	0.00
       24	      144	    30000	      251	        8	0.00
       24	      233	    30000	      297	        9	0.00
       24	      377	    30000	      383	       12	0.00
       24	      610	    30000	      480	       16	0.00
       24	      987	    30000	      694	       23	0.00
       24	     1597	    30000	     1218	       40	0.00
       24	     2584	    30000	     1548	       51	0.00
       24	     4181	    30000	     2883	       96	0.00
       24	     6765	    30000	     3810	      127	0.00
       24	    10946	    30000	     5629	      187	0.00
       24	    17711	    30000	     7319	      243	0.00
       24	    28657	    30000	    12141	      404	0.00
       24	    46368	    30000	    23739	      791	0.00
       32	        1	    30000	      173	        5	0.00
       32	        2	    30000	      187	        6	0.00
       32	        3	    30000	      173	        5	0.00
       32	        5	    30000	      177	        5	0.00
       32	        8	    30000	      178	        5	0.00
       32	       13	    30000	      184	        6	0.00
       32	       21	    30000	      189	        6	0.00
       32	       34	    30000	      188	        6	0.00
       32	       55	    30000	      211	        7	0.00
       32	       89	    30000	      231	        7	0.00
       32	      144	    30000	      255	        8	0.00
       32	      233	    30000	      316	       10	0.00
       32	      377	    30000	      379	       12	0.00
       32	      610	    30000	      488	       16	0.00
       32	      987	    30000	      751	       25	0.00
       32	     1597	    30000	     1055	       35	0.00
       32	     2584	    30000	     1531	       51	0.00
       32	     4181	    30000	     2311	       77	0.00
       32	     6765	    30000	     3675	      122	0.00
       32	    10946	    30000	     5613	      187	0.00
       32	    17711	    30000	    11559	      385	0.00
       32	    28657	    30000	    29733	      991	0.00
       32	    46368	    30000	    29474	      982	0.00
    
