
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      186	        6	1100.00
        2	        2	    30000	      100	        3	2800.00
        2	        3	    30000	      110	        3	61166.67
        2	        5	    30000	      111	        3	93360.00
        2	        8	    30000	      215	        7	397050.00
        2	       13	    30000	      126	        4	91500.00
        2	       21	    30000	      153	        5	121309.52
        2	       34	    30000	      228	        7	113550.00
        2	       55	    30000	      256	        8	121758.18
        2	       89	    30000	      339	       11	129498.88
        2	      144	    30000	      445	       14	94931.94
        2	      233	    30000	      723	       24	123165.24
        2	      377	    30000	     1019	       33	114391.78
        2	      610	    30000	     1419	       47	105966.89
        2	      987	    30000	     2601	       86	126518.14
        2	     1597	    30000	     3659	      121	112084.03
        2	     2584	    30000	     6253	      208	121600.04
        2	     4181	    30000	    10300	      343	122730.04
        2	     6765	    30000	    21693	      723	122011.41
        2	    10946	    30000	    30486	     1016	121664.96
        2	    17711	    30000	    47626	     1587	119566.06
        2	    28657	    30000	    95060	     3168	120873.97
        2	    46368	    30000	   119771	     3992	119082.61
        4	        1	    30000	      137	        4	1600.00
        4	        2	    30000	      132	        4	4100.00
        4	        3	    30000	      208	        6	1600.00
        4	        5	    30000	      129	        4	2820.00
        4	        8	    30000	      143	        4	3750.00
        4	       13	    30000	      125	        4	4469.23
        4	       21	    30000	      146	        4	7300.00
        4	       34	    30000	      143	        4	4285.29
        4	       55	    30000	      149	        4	7620.00
        4	       89	    30000	      199	        6	3314.61
        4	      144	    30000	      201	        6	2609.03
        4	      233	    30000	      221	        7	4757.51
        4	      377	    30000	      227	        7	4466.31
        4	      610	    30000	      337	       11	5252.30
        4	      987	    30000	      504	       16	4353.29
        4	     1597	    30000	      730	       24	5001.63
        4	     2584	    30000	     1282	       42	4807.74
        4	     4181	    30000	     1711	       57	5377.23
        4	     6765	    30000	     3033	      101	5091.96
        4	    10946	    30000	     3512	      117	4793.59
        4	    17711	    30000	     7379	      245	5177.96
        4	    28657	    30000	    10604	      353	4680.13
        4	    46368	    30000	    14469	      482	4875.87
        8	        1	    30000	      164	        5	0.00
        8	        2	    30000	      152	        5	0.00
        8	        3	    30000	      152	        5	0.00
        8	        5	    30000	      151	        5	20.00
        8	        8	    30000	      166	        5	0.00
        8	       13	    30000	      142	        4	30.77
        8	       21	    30000	      172	        5	0.00
        8	       34	    30000	      164	        5	0.00
        8	       55	    30000	      181	        6	14.55
        8	       89	    30000	      238	        7	4.49
        8	      144	    30000	      175	        5	9.72
        8	      233	    30000	      231	        7	9.01
        8	      377	    30000	      238	        7	5.31
        8	      610	    30000	      270	        9	5.90
        8	      987	    30000	      359	       11	6.79
        8	     1597	    30000	      498	       16	11.08
        8	     2584	    30000	      648	       21	5.84
        8	     4181	    30000	     1006	       33	7.20
        8	     6765	    30000	     1772	       59	7.24
        8	    10946	    30000	     2671	       89	9.17
        8	    17711	    30000	     4005	      133	7.43
        8	    28657	    30000	     8456	      281	8.43
        8	    46368	    30000	    13311	      443	8.48
       16	        1	    30000	      174	        5	0.00
       16	        2	    30000	      156	        5	0.00
       16	        3	    30000	      183	        6	0.00
       16	        5	    30000	      176	        5	0.00
       16	        8	    30000	      179	        5	0.00
       16	       13	    30000	      175	        5	0.00
       16	       21	    30000	      182	        6	0.00
       16	       34	    30000	      204	        6	0.00
       16	       55	    30000	      215	        7	0.00
       16	       89	    30000	      229	        7	0.00
       16	      144	    30000	      202	        6	0.00
       16	      233	    30000	      228	        7	0.00
       16	      377	    30000	      205	        6	0.00
       16	      610	    30000	      221	        7	0.00
       16	      987	    30000	      251	        8	0.00
       16	     1597	    30000	      327	       10	0.00
       16	     2584	    30000	      373	       12	0.00
       16	     4181	    30000	      527	       17	0.00
       16	     6765	    30000	      765	       25	0.00
       16	    10946	    30000	      817	       27	0.00
       16	    17711	    30000	     1307	       43	0.00
       16	    28657	    30000	     3440	      114	0.00
       16	    46368	    30000	     6409	      213	0.00
       24	        1	    30000	      215	        7	0.00
       24	        2	    30000	      254	        8	0.00
       24	        3	    30000	      211	        7	0.00
       24	        5	    30000	      192	        6	0.00
       24	        8	    30000	      240	        8	0.00
       24	       13	    30000	      196	        6	0.00
       24	       21	    30000	      249	        8	0.00
       24	       34	    30000	      243	        8	0.00
       24	       55	    30000	      290	        9	0.00
       24	       89	    30000	      302	       10	0.00
       24	      144	    30000	      226	        7	0.00
       24	      233	    30000	      208	        6	0.00
       24	      377	    30000	      211	        7	0.00
       24	      610	    30000	      228	        7	0.00
       24	      987	    30000	      248	        8	0.00
       24	     1597	    30000	      269	        8	0.00
       24	     2584	    30000	      373	       12	0.00
       24	     4181	    30000	      408	       13	0.00
       24	     6765	    30000	      572	       19	0.00
       24	    10946	    30000	      760	       25	0.00
       24	    17711	    30000	     1173	       39	0.00
       24	    28657	    30000	     2151	       71	0.00
       24	    46368	    30000	     3537	      117	0.00
       32	        1	    30000	      203	        6	0.00
       32	        2	    30000	      197	        6	0.00
       32	        3	    30000	      199	        6	0.00
       32	        5	    30000	      299	        9	0.00
       32	        8	    30000	      261	        8	0.00
       32	       13	    30000	      217	        7	0.00
       32	       21	    30000	      298	        9	0.00
       32	       34	    30000	      292	        9	0.00
       32	       55	    30000	      320	       10	0.00
       32	       89	    30000	      370	       12	0.00
       32	      144	    30000	      260	        8	0.00
       32	      233	    30000	      229	        7	0.00
       32	      377	    30000	      237	        7	0.00
       32	      610	    30000	      292	        9	0.00
       32	      987	    30000	      369	       12	0.00
       32	     1597	    30000	      337	       11	0.00
       32	     2584	    30000	      424	       14	0.00
       32	     4181	    30000	      470	       15	0.00
       32	     6765	    30000	      615	       20	0.00
       32	    10946	    30000	      707	       23	0.00
       32	    17711	    30000	     1058	       35	0.00
       32	    28657	    30000	     2140	       71	0.00
       32	    46368	    30000	     2520	       84	0.00
    
