
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	     1000	      339	      339	400.00
        2	        2	     1000	       28	       28	1500.00
        2	        3	     1000	       37	       37	8433.33
        2	        5	     1000	       12	       12	3420.00
        2	        8	     1000	       14	       14	3275.00
        2	       13	     1000	       38	       38	2338.46
        2	       21	     1000	       55	       55	2495.24
        2	       34	     1000	       21	       21	4238.24
        2	       55	     1000	       93	       93	4909.09
        2	       89	     1000	       43	       43	4448.31
        2	      144	     1000	       30	       30	2931.25
        2	      233	     1000	       82	       82	4378.11
        2	      377	     1000	      103	      103	3984.35
        2	      610	     1000	      137	      137	3575.41
        2	      987	     1000	      180	      180	4385.61
        2	     1597	     1000	      285	      285	4174.51
        2	     2584	     1000	      442	      442	4067.57
        2	     4181	     1000	     1060	     1060	4100.81
        2	     6765	     1000	     1769	     1769	3906.39
        2	    10946	     1000	     2524	     2524	3721.25
        2	    17711	     1000	     3680	     3680	3782.37
        2	    28657	     1000	     7176	     7176	4094.47
        2	    46368	     1000	    10114	    10114	4209.58
        4	        1	     1000	        4	        4	300.00
        4	        2	     1000	        9	        9	0.00
        4	        3	     1000	        4	        4	0.00
        4	        5	     1000	        8	        8	520.00
        4	        8	     1000	        5	        5	12.50
        4	       13	     1000	        5	        5	46.15
        4	       21	     1000	        7	        7	338.10
        4	       34	     1000	        8	        8	52.94
        4	       55	     1000	       12	       12	96.36
        4	       89	     1000	       15	       15	180.90
        4	      144	     1000	       24	       24	173.61
        4	      233	     1000	       66	       66	129.18
        4	      377	     1000	       67	       67	162.33
        4	      610	     1000	       82	       82	157.87
        4	      987	     1000	      153	      153	135.97
        4	     1597	     1000	      249	      249	152.16
        4	     2584	     1000	      334	      334	167.61
        4	     4181	     1000	      587	      587	157.07
        4	     6765	     1000	     1010	     1010	161.35
        4	    10946	     1000	     1786	     1786	163.51
        4	    17711	     1000	     2781	     2781	152.76
        4	    28657	     1000	     4701	     4701	168.57
        4	    46368	     1000	     8800	     8800	159.66
        8	        1	     1000	        4	        4	0.00
        8	        2	     1000	        5	        5	0.00
        8	        3	     1000	        5	        5	0.00
        8	        5	     1000	        5	        5	0.00
        8	        8	     1000	        6	        6	0.00
        8	       13	     1000	       16	       16	0.00
        8	       21	     1000	       14	       14	0.00
        8	       34	     1000	       12	       12	0.00
        8	       55	     1000	       16	       16	0.00
        8	       89	     1000	       23	       23	0.00
        8	      144	     1000	       77	       77	0.00
        8	      233	     1000	       58	       58	0.00
        8	      377	     1000	       81	       81	0.00
        8	      610	     1000	      137	      137	0.16
        8	      987	     1000	      218	      218	0.00
        8	     1597	     1000	      329	      329	0.06
        8	     2584	     1000	      454	      454	0.39
        8	     4181	     1000	      755	      755	0.26
        8	     6765	     1000	     1612	     1612	0.27
        8	    10946	     1000	     2699	     2699	0.43
        8	    17711	     1000	     4348	     4348	0.28
        8	    28657	     1000	     6630	     6630	0.39
        8	    46368	     1000	    10771	    10771	0.30
       16	        1	     1000	        5	        5	0.00
       16	        2	     1000	        5	        5	0.00
       16	        3	     1000	        5	        5	0.00
       16	        5	     1000	        6	        6	0.00
       16	        8	     1000	        6	        6	0.00
       16	       13	     1000	        8	        8	0.00
       16	       21	     1000	       10	       10	0.00
       16	       34	     1000	       12	       12	0.00
       16	       55	     1000	       19	       19	0.00
       16	       89	     1000	       30	       30	0.00
       16	      144	     1000	       40	       40	0.00
       16	      233	     1000	       90	       90	0.00
       16	      377	     1000	      102	      102	0.00
       16	      610	     1000	      222	      222	0.00
       16	      987	     1000	      333	      333	0.00
       16	     1597	     1000	      442	      442	0.00
       16	     2584	     1000	      720	      720	0.00
       16	     4181	     1000	     1148	     1148	0.00
       16	     6765	     1000	     2016	     2016	0.00
       16	    10946	     1000	     3394	     3394	0.00
       16	    17711	     1000	     6410	     6410	0.00
       16	    28657	     1000	     9328	     9328	0.00
       16	    46368	     1000	    17105	    17105	0.00
       24	        1	     1000	        6	        6	0.00
       24	        2	     1000	        6	        6	0.00
       24	        3	     1000	        6	        6	0.00
       24	        5	     1000	        8	        8	0.00
       24	        8	     1000	        9	        9	0.00
       24	       13	     1000	        9	        9	0.00
       24	       21	     1000	       12	       12	0.00
       24	       34	     1000	       20	       20	0.00
       24	       55	     1000	       31	       31	0.00
       24	       89	     1000	       36	       36	0.00
       24	      144	     1000	       66	       66	0.00
       24	      233	     1000	       87	       87	0.00
       24	      377	     1000	      151	      151	0.00
       24	      610	     1000	      242	      242	0.00
       24	      987	     1000	      383	      383	0.00
       24	     1597	     1000	      629	      629	0.00
       24	     2584	     1000	     1011	     1011	0.00
       24	     4181	     1000	     1701	     1701	0.00
       24	     6765	     1000	     4073	     4073	0.00
       24	    10946	     1000	     5382	     5382	0.00
       24	    17711	     1000	     7894	     7894	0.00
       24	    28657	     1000	    12077	    12077	0.00
       24	    46368	     1000	    20706	    20706	0.00
       32	        1	     1000	        6	        6	0.00
       32	        2	     1000	        7	        7	0.00
       32	        3	     1000	        8	        8	0.00
       32	        5	     1000	        8	        8	0.00
       32	        8	     1000	       10	       10	0.00
       32	       13	     1000	       13	       13	0.00
       32	       21	     1000	       17	       17	0.00
       32	       34	     1000	       25	       25	0.00
       32	       55	     1000	       36	       36	0.00
       32	       89	     1000	       60	       60	0.00
       32	      144	     1000	       75	       75	0.00
       32	      233	     1000	      142	      142	0.00
       32	      377	     1000	      195	      195	0.00
       32	      610	     1000	      318	      318	0.00
       32	      987	     1000	      498	      498	0.00
