
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      527	       17	67600.00
        2	        2	    30000	      375	       12	65800.00
        2	        3	    30000	      388	       12	296533.33
        2	        5	    30000	      373	       12	40240.00
        2	        8	    30000	      385	       12	47212.50
        2	       13	    30000	      388	       12	85638.46
        2	       21	    30000	      418	       13	142547.62
        2	       34	    30000	      447	       14	103167.65
        2	       55	    30000	      494	       16	108003.64
        2	       89	    30000	      609	       20	145892.13
        2	      144	    30000	      682	       22	128439.58
        2	      233	    30000	      799	       26	107518.03
        2	      377	    30000	     1229	       40	133421.22
        2	      610	    30000	     1599	       53	112160.49
        2	      987	    30000	     2447	       81	115382.37
        2	     1597	    30000	     3761	      125	121025.49
        2	     2584	    30000	     5742	      191	118729.22
        2	     4181	    30000	     9469	      315	115679.43
        2	     6765	    30000	    20634	      687	121247.21
        2	    10946	    30000	    27283	      909	122596.77
        2	    17711	    30000	    47088	     1569	120994.46
        2	    28657	    30000	    80848	     2694	123328.32
        2	    46368	    30000	   133254	     4441	120908.50
        4	        1	    30000	      751	       25	1600.00
        4	        2	    30000	      790	       26	2300.00
        4	        3	    30000	      836	       27	3033.33
        4	        5	    30000	      830	       27	2480.00
        4	        8	    30000	      826	       27	56475.00
        4	       13	    30000	      789	       26	1200.00
        4	       21	    30000	      813	       27	2780.95
        4	       34	    30000	      738	       24	4802.94
        4	       55	    30000	      773	       25	2503.64
        4	       89	    30000	      742	       24	5689.89
        4	      144	    30000	      747	       24	3239.58
        4	      233	    30000	      837	       27	4468.24
        4	      377	    30000	      829	       27	3863.13
        4	      610	    30000	      987	       32	5330.33
        4	      987	    30000	      971	       32	5943.87
        4	     1597	    30000	     1105	       36	4428.49
        4	     2584	    30000	     1583	       52	5237.62
        4	     4181	    30000	     1785	       59	4988.62
        4	     6765	    30000	     2562	       85	4978.33
        4	    10946	    30000	     3351	      111	4733.24
        4	    17711	    30000	     4414	      147	4707.55
        4	    28657	    30000	     5953	      198	4880.78
        4	    46368	    30000	     9147	      304	4731.22
        8	        1	    30000	     1320	       44	0.00
        8	        2	    30000	     1396	       46	0.00
        8	        3	    30000	     1344	       44	0.00
        8	        5	    30000	     1408	       46	0.00
        8	        8	    30000	     1343	       44	0.00
        8	       13	    30000	     1414	       47	0.00
        8	       21	    30000	     1317	       43	0.00
        8	       34	    30000	     1300	       43	8.82
        8	       55	    30000	     1309	       43	3.64
        8	       89	    30000	     1359	       45	8.99
        8	      144	    30000	     1461	       48	7.64
        8	      233	    30000	     1418	       47	5.58
        8	      377	    30000	     1358	       45	4.51
        8	      610	    30000	     1411	       47	4.10
        8	      987	    30000	     1478	       49	7.90
        8	     1597	    30000	     1665	       55	9.96
        8	     2584	    30000	     1712	       57	8.51
        8	     4181	    30000	     1894	       63	9.78
        8	     6765	    30000	     2134	       71	9.15
        8	    10946	    30000	     2649	       88	7.36
        8	    17711	    30000	     3407	      113	7.00
        8	    28657	    30000	     4736	      157	9.92
        8	    46368	    30000	     6770	      225	8.04
       16	        1	    30000	     2696	       89	0.00
       16	        2	    30000	     2741	       91	0.00
       16	        3	    30000	     2777	       92	0.00
       16	        5	    30000	     2729	       90	0.00
       16	        8	    30000	     2791	       93	0.00
       16	       13	    30000	     2860	       95	0.00
       16	       21	    30000	     2676	       89	0.00
       16	       34	    30000	     2669	       88	0.00
       16	       55	    30000	     2705	       90	0.00
