
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      157	        5	11800.00
        2	        2	    30000	      137	        4	153550.00
        2	        3	    30000	      125	        4	48800.00
        2	        5	    30000	      160	        5	27960.00
        2	        8	    30000	      176	        5	105400.00
        2	       13	    30000	      165	        5	149500.00
        2	       21	    30000	      148	        4	81685.71
        2	       34	    30000	      198	        6	75814.71
        2	       55	    30000	      308	       10	150636.36
        2	       89	    30000	      365	       12	127928.09
        2	      144	    30000	      518	       17	118445.83
        2	      233	    30000	      856	       28	114763.09
        2	      377	    30000	     1266	       42	116659.15
        2	      610	    30000	     1985	       66	122841.48
        2	      987	    30000	     2984	       99	121978.01
        2	     1597	    30000	     5577	      185	117376.58
        2	     2584	    30000	    10536	      351	122632.93
        2	     4181	    30000	    13392	      446	118868.79
        2	     6765	    30000	    24789	      826	121774.38
        2	    10946	    30000	    41277	     1375	124397.66
        2	    17711	    30000	    76504	     2550	123019.82
        2	    28657	    30000	   109383	     3646	121205.60
        2	    46368	    30000	   182187	     6072	118866.02
        4	        1	    30000	      124	        4	12000.00
        4	        2	    30000	      114	        3	5150.00
        4	        3	    30000	      121	        4	633.33
        4	        5	    30000	      119	        3	1520.00
        4	        8	    30000	      117	        3	1787.50
        4	       13	    30000	      140	        4	838.46
        4	       21	    30000	      144	        4	2500.00
        4	       34	    30000	      142	        4	4897.06
        4	       55	    30000	      189	        6	3947.27
        4	       89	    30000	      161	        5	2233.71
        4	      144	    30000	      201	        6	4193.06
        4	      233	    30000	      290	        9	5389.27
        4	      377	    30000	      365	       12	5124.14
        4	      610	    30000	      574	       19	4213.44
        4	      987	    30000	      894	       29	4720.67
        4	     1597	    30000	     1372	       45	4928.62
        4	     2584	    30000	     2361	       78	4840.87
        4	     4181	    30000	     3871	      129	5230.23
        4	     6765	    30000	     7401	      246	4931.91
        4	    10946	    30000	    12977	      432	4909.59
        4	    17711	    30000	    25846	      861	4859.80
        4	    28657	    30000	    59136	     1971	5081.62
        4	    46368	    30000	   144262	     4808	4885.60
        8	        1	    30000	      122	        4	0.00
        8	        2	    30000	      133	        4	0.00
        8	        3	    30000	      145	        4	0.00
        8	        5	    30000	      135	        4	0.00
        8	        8	    30000	      126	        4	0.00
        8	       13	    30000	      131	        4	0.00
