chunkSize	dimensions	rules	points	timeMs	timeNormUs	matchesPercent
1	       16	      144	   200000	     4896	       24	0.00
1	       16	      233	   200000	     5746	       28	0.00
1	       16	      377	   200000	     8645	       43	0.00
1	       16	      610	   200000	    13155	       65	0.00
1	       16	      987	   200000	    20827	      104	0.00
1	       16	     1597	   200000	    32471	      162	0.00
1	       16	     2584	   200000	    52000	      260	0.00
1	       16	     4181	   200000	    85744	      428	0.00
1	       16	     6765	   200000	   140531	      702	0.00
1	       16	    10946	   200000	   224087	     1120	0.00
1	       16	    17711	   200000	   384609	     1923	0.00
1	       16	    28657	   200000	   639854	     3199	0.00
1	       16	    46368	   200000	  1296554	     6482	0.00
1	       16	    75025	   200000	  2293089	    11465	0.00
2	       16	      144	   200000	     2535	       12	0.00
2	       16	      233	   200000	     3587	       17	0.00
2	       16	      377	   200000	     5510	       27	0.00
2	       16	      610	   200000	     8356	       41	0.00
2	       16	      987	   200000	    13146	       65	0.00
2	       16	     1597	   200000	    20861	      104	0.00
2	       16	     2584	   200000	    33046	      165	0.00
2	       16	     4181	   200000	    52245	      261	0.00
2	       16	     6765	   200000	    85088	      425	0.00
2	       16	    10946	   200000	   136576	      682	0.00
2	       16	    17711	   200000	   223772	     1118	0.00
2	       16	    28657	   200000	   378400	     1892	0.00
2	       16	    46368	   200000	   641883	     3209	0.00
2	       16	    75025	   200000	  1251244	     6256	0.00
3	       16	      144	   200000	     2105	       10	0.00
3	       16	      233	   200000	     2878	       14	0.00
3	       16	      377	   200000	     4263	       21	0.00
3	       16	      610	   200000	     6460	       32	0.00
3	       16	      987	   200000	    10132	       50	0.00
3	       16	     1597	   200000	    16096	       80	0.00
3	       16	     2584	   200000	    24965	      124	0.00
3	       16	     4181	   200000	    40676	      203	0.00
3	       16	     6765	   200000	    64650	      323	0.00
3	       16	    10946	   200000	   104649	      523	0.00
3	       16	    17711	   200000	   173234	      866	0.00
3	       16	    28657	   200000	   279382	     1396	0.00
3	       16	    46368	   200000	   467520	     2337	0.00
3	       16	    75025	   200000	   881416	     4407	0.00
5	       16	      144	   200000	     1726	        8	0.00
5	       16	      233	   200000	     2350	       11	0.00
5	       16	      377	   200000	     3423	       17	0.00
5	       16	      610	   200000	     5146	       25	0.00
5	       16	      987	   200000	     7931	       39	0.00
5	       16	     1597	   200000	    12511	       62	0.00
5	       16	     2584	   200000	    19453	       97	0.00
5	       16	     4181	   200000	    30949	      154	0.00
5	       16	     6765	   200000	    49655	      248	0.00
5	       16	    10946	   200000	    79123	      395	0.00
5	       16	    17711	   200000	   129312	      646	0.00
5	       16	    28657	   200000	   212022	     1060	0.00
5	       16	    46368	   200000	   345979	     1729	0.00
5	       16	    75025	   200000	   567037	     2835	0.00
8	       16	      144	   200000	     1553	        7	0.00
8	       16	      233	   200000	     2026	       10	0.00
8	       16	      377	   200000	     2998	       14	0.00
8	       16	      610	   200000	     4245	       21	0.00
8	       16	      987	   200000	     6611	       33	0.00
8	       16	     1597	   200000	    10384	       51	0.00
8	       16	     2584	   200000	    15962	       79	0.00
8	       16	     4181	   200000	    25696	      128	0.00
8	       16	     6765	   200000	    41105	      205	0.00
8	       16	    10946	   200000	    65441	      327	0.00
8	       16	    17711	   200000	   106715	      533	0.00
8	       16	    28657	   200000	   184192	      920	0.00
8	       16	    46368	   200000	   281592	     1407	0.00
8	       16	    75025	   200000	   471201	     2356	0.00
13	       16	      144	   200000	     1358	        6	0.00
13	       16	      233	   200000	     1833	        9	0.00
13	       16	      377	   200000	     2608	       13	0.00
13	       16	      610	   200000	     3749	       18	0.00
13	       16	      987	   200000	     5744	       28	0.00
13	       16	     1597	   200000	     9121	       45	0.00
13	       16	     2584	   200000	    13725	       68	0.00
13	       16	     4181	   200000	    22147	      110	0.00
13	       16	     6765	   200000	    35538	      177	0.00
13	       16	    10946	   200000	    56289	      281	0.00
13	       16	    17711	   200000	    93286	      466	0.00
13	       16	    28657	   200000	   154255	      771	0.00
13	       16	    46368	   200000	   261347	     1306	0.00
13	       16	    75025	   200000	   391975	     1959	0.00
21	       16	      144	   200000	     1284	        6	0.00
21	       16	      233	   200000	     1666	        8	0.00
21	       16	      377	   200000	     2362	       11	0.00
21	       16	      610	   200000	     3577	       17	0.00
21	       16	      987	   200000	     5207	       26	0.00
21	       16	     1597	   200000	     8402	       42	0.00
21	       16	     2584	   200000	    12739	       63	0.00
21	       16	     4181	   200000	    20062	      100	0.00
21	       16	     6765	   200000	    32208	      161	0.00
21	       16	    10946	   200000	    52146	      260	0.00
21	       16	    17711	   200000	    83795	      418	0.00
21	       16	    28657	   200000	   137678	      688	0.00
21	       16	    46368	   200000	   231756	     1158	0.00
21	       16	    75025	   200000	   370568	     1852	0.00
34	       16	      144	   200000	     1210	        6	0.00
34	       16	      233	   200000	     1507	        7	0.00
34	       16	      377	   200000	     2137	       10	0.00
34	       16	      610	   200000	     3193	       15	0.00
34	       16	      987	   200000	     4803	       24	0.00
34	       16	     1597	   200000	     7688	       38	0.00
34	       16	     2584	   200000	    11825	       59	0.00
34	       16	     4181	   200000	    18856	       94	0.00
34	       16	     6765	   200000	    30373	      151	0.00
34	       16	    10946	   200000	    49648	      248	0.00
34	       16	    17711	   200000	    80686	      403	0.00
34	       16	    28657	   200000	   128039	      640	0.00
34	       16	    46368	   200000	   210118	     1050	0.00
34	       16	    75025	   200000	   343816	     1719	0.00
55	       16	      144	   200000	     1174	        5	0.00
55	       16	      233	   200000	     1584	        7	0.00
55	       16	      377	   200000	     2141	       10	0.00
55	       16	      610	   200000	     3201	       16	0.00
55	       16	      987	   200000	     4851	       24	0.00
55	       16	     1597	   200000	     7684	       38	0.00
55	       16	     2584	   200000	    11855	       59	0.00
55	       16	     4181	   200000	    19056	       95	0.00
55	       16	     6765	   200000	    29951	      149	0.00
55	       16	    10946	   200000	    47692	      238	0.00
55	       16	    17711	   200000	    77078	      385	0.00
55	       16	    28657	   200000	   125494	      627	0.00
55	       16	    46368	   200000	   202277	     1011	0.00
55	       16	    75025	   200000	   331536	     1657	0.00
89	       16	      144	   200000	     1182	        5	0.00
89	       16	      233	   200000	     1578	        7	0.00
89	       16	      377	   200000	     2225	       11	0.00
89	       16	      610	   200000	     3145	       15	0.00
89	       16	      987	   200000	     4927	       24	0.00
89	       16	     1597	   200000	     7762	       38	0.00
89	       16	     2584	   200000	    11589	       57	0.00
89	       16	     4181	   200000	    18597	       92	0.00
89	       16	     6765	   200000	    29974	      149	0.00
89	       16	    10946	   200000	    47914	      239	0.00
89	       16	    17711	   200000	    77173	      385	0.00
89	       16	    28657	   200000	   123520	      617	0.00
89	       16	    46368	   200000	   200547	     1002	0.00
89	       16	    75025	   200000	   326435	     1632	0.00
144	       16	      144	   200000	      979	        4	0.00
144	       16	      233	   200000	     1047	        5	0.00
144	       16	      377	   200000	     1345	        6	0.00
144	       16	      610	   200000	     1827	        9	0.00
144	       16	      987	   200000	     2526	       12	0.00
144	       16	     1597	   200000	     3848	       19	0.00
144	       16	     2584	   200000	     5962	       29	0.00
144	       16	     4181	   200000	     9434	       47	0.00
144	       16	     6765	   200000	    14439	       72	0.00
144	       16	    10946	   200000	    22484	      112	0.00
144	       16	    17711	   200000	    36192	      180	0.00
144	       16	    28657	   200000	    59074	      295	0.00
144	       16	    46368	   200000	    94863	      474	0.00
144	       16	    75025	   200000	   152096	      760	0.00
233	       16	      144	   200000	      792	        3	0.00
233	       16	      233	   200000	      958	        4	0.00
233	       16	      377	   200000	     1232	        6	0.00
233	       16	      610	   200000	     1628	        8	0.00
233	       16	      987	   200000	     2120	       10	0.00
233	       16	     1597	   200000	     3096	       15	0.00
233	       16	     2584	   200000	     4549	       22	0.00
233	       16	     4181	   200000	     7128	       35	0.00
233	       16	     6765	   200000	    10940	       54	0.00
233	       16	    10946	   200000	    17679	       88	0.00
233	       16	    17711	   200000	    28684	      143	0.00
233	       16	    28657	   200000	    44996	      224	0.00
233	       16	    46368	   200000	    72948	      364	0.00
233	       16	    75025	   200000	   115943	      579	0.00
377	       16	      144	   200000	      764	        3	0.00
377	       16	      233	   200000	      872	        4	0.00
377	       16	      377	   200000	     1032	        5	0.00
377	       16	      610	   200000	     1290	        6	0.00
377	       16	      987	   200000	     1653	        8	0.00
377	       16	     1597	   200000	     2414	       12	0.00
377	       16	     2584	   200000	     3593	       17	0.00
377	       16	     4181	   200000	     5232	       26	0.00
377	       16	     6765	   200000	     8159	       40	0.00
377	       16	    10946	   200000	    13336	       66	0.00
377	       16	    17711	   200000	    20799	      103	0.00
377	       16	    28657	   200000	    33233	      166	0.00
377	       16	    46368	   200000	    53733	      268	0.00
377	       16	    75025	   200000	    86522	      432	0.00
610	       16	      144	   200000	      756	        3	0.00
610	       16	      233	   200000	      868	        4	0.00
610	       16	      377	   200000	      947	        4	0.00
610	       16	      610	   200000	     1099	        5	0.00
610	       16	      987	   200000	     1509	        7	0.00
610	       16	     1597	   200000	     2093	       10	0.00
610	       16	     2584	   200000	     2924	       14	0.00
610	       16	     4181	   200000	     4654	       23	0.00
610	       16	     6765	   200000	     6875	       34	0.00
610	       16	    10946	   200000	    10860	       54	0.00
610	       16	    17711	   200000	    17770	       88	0.00
610	       16	    28657	   200000	    27732	      138	0.00
610	       16	    46368	   200000	    44585	      222	0.00
610	       16	    75025	   200000	    71589	      357	0.00
987	       16	      144	   200000	      755	        3	0.00
987	       16	      233	   200000	      758	        3	0.00
987	       16	      377	   200000	      916	        4	0.00
987	       16	      610	   200000	      999	        4	0.00
987	       16	      987	   200000	     1381	        6	0.00
987	       16	     1597	   200000	     1769	        8	0.00
987	       16	     2584	   200000	     2624	       13	0.00
987	       16	     4181	   200000	     3682	       18	0.00
987	       16	     6765	   200000	     5570	       27	0.00
987	       16	    10946	   200000	     8880	       44	0.00
987	       16	    17711	   200000	    14395	       71	0.00
987	       16	    28657	   200000	    22473	      112	0.00
987	       16	    46368	   200000	    35191	      175	0.00
987	       16	    75025	   200000	    56642	      283	0.00
1597	       16	      144	   200000	      783	        3	0.00
1597	       16	      233	   200000	      795	        3	0.00
1597	       16	      377	   200000	      888	        4	0.00
1597	       16	      610	   200000	      955	        4	0.00
1597	       16	      987	   200000	     1235	        6	0.00
1597	       16	     1597	   200000	     1621	        8	0.00
1597	       16	     2584	   200000	     2292	       11	0.00
1597	       16	     4181	   200000	     3367	       16	0.00
1597	       16	     6765	   200000	     5207	       26	0.00
1597	       16	    10946	   200000	     8016	       40	0.00
1597	       16	    17711	   200000	    12879	       64	0.00
1597	       16	    28657	   200000	    20134	      100	0.00
1597	       16	    46368	   200000	    31406	      157	0.00
1597	       16	    75025	   200000	    49627	      248	0.00
2584	       16	      144	   200000	      706	        3	0.00
2584	       16	      233	   200000	      759	        3	0.00
