
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      257	        8	0.00
        2	        2	    30000	      167	        5	0.00
        2	        3	    30000	      160	        5	0.00
        2	        5	    30000	      244	        8	0.00
        2	        8	    30000	      294	        9	0.00
        2	       13	    30000	      334	       11	0.00
        2	       21	    30000	      528	       17	0.00
        2	       34	    30000	      917	       30	0.00
        2	       55	    30000	     1272	       42	0.00
        2	       89	    30000	     1881	       62	0.00
        2	      144	    30000	     2400	       80	0.00
        2	      233	    30000	     4361	      145	0.00
        2	      377	    30000	     6061	      202	0.00
        2	      610	    30000	    10640	      354	0.00
        2	      987	    30000	    17703	      590	0.00
        2	     1597	    30000	    30458	     1015	0.00
        2	     2584	    30000	    48527	     1617	0.00
        2	     4181	    30000	    77075	     2569	0.00
        2	     6765	    30000	   127300	     4243	0.00
        2	    10946	    30000	   207603	     6920	0.00
        2	    17711	    30000	   353624	    11787	0.00
        2	    28657	    30000	   522297	    17409	0.00
        2	    46368	    30000	   824329	    27477	0.00
        4	        1	    30000	      112	        3	0.00
        4	        2	    30000	      116	        3	0.00
        4	        3	    30000	      148	        4	0.00
        4	        5	    30000	      131	        4	0.00
        4	        8	    30000	      159	        5	0.00
        4	       13	    30000	      199	        6	0.00
        4	       21	    30000	      190	        6	0.00
        4	       34	    30000	      256	        8	0.00
        4	       55	    30000	      316	       10	0.00
        4	       89	    30000	      550	       18	0.00
        4	      144	    30000	      596	       19	0.00
        4	      233	    30000	     1434	       47	0.00
        4	      377	    30000	     2180	       72	0.00
        4	      610	    30000	     3092	      103	0.00
        4	      987	    30000	     6832	      227	0.00
        4	     1597	    30000	     9619	      320	0.00
        4	     2584	    30000	    12180	      406	0.00
        4	     4181	    30000	    18984	      632	0.00
        4	     6765	    30000	    35215	     1173	0.00
        4	    10946	    30000	    70613	     2353	0.00
        4	    17711	    30000	   110736	     3691	0.00
        4	    28657	    30000	   126927	     4230	0.00
        4	    46368	    30000	   203217	     6773	0.00
        8	        1	    30000	      103	        3	0.00
        8	        2	    30000	      101	        3	0.00
        8	        3	    30000	      100	        3	0.00
        8	        5	    30000	      124	        4	0.00
        8	        8	    30000	      101	        3	0.00
        8	       13	    30000	       95	        3	0.00
        8	       21	    30000	      132	        4	0.00
        8	       34	    30000	      135	        4	0.00
        8	       55	    30000	      153	        5	0.00
        8	       89	    30000	      190	        6	0.00
        8	      144	    30000	      269	        8	0.00
        8	      233	    30000	      442	       14	0.00
        8	      377	    30000	      476	       15	0.00
        8	      610	    30000	      722	       24	0.00
        8	      987	    30000	     1328	       44	0.00
        8	     1597	    30000	     2003	       66	0.00
        8	     2584	    30000	     2798	       93	0.00
        8	     4181	    30000	     4503	      150	0.00
        8	     6765	    30000	     6300	      210	0.00
        8	    10946	    30000	    10047	      334	0.00
        8	    17711	    30000	    15446	      514	0.00
        8	    28657	    30000	    24809	      826	0.00
        8	    46368	    30000	    38901	     1296	0.00
       16	        1	    30000	       98	        3	0.00
       16	        2	    30000	      116	        3	0.00
       16	        3	    30000	       98	        3	0.00
       16	        5	    30000	      101	        3	0.00
       16	        8	    30000	      108	        3	0.00
       16	       13	    30000	      113	        3	0.00
       16	       21	    30000	      133	        4	0.00
       16	       34	    30000	      143	        4	0.00
       16	       55	    30000	      186	        6	0.00
       16	       89	    30000	      175	        5	0.00
       16	      144	    30000	      241	        8	0.00
       16	      233	    30000	      310	       10	0.00
       16	      377	    30000	      449	       14	0.00
       16	      610	    30000	      617	       20	0.00
       16	      987	    30000	      995	       33	0.00
       16	     1597	    30000	     1479	       49	0.00
       16	     2584	    30000	     2353	       78	0.00
       16	     4181	    30000	     3726	      124	0.00
       16	     6765	    30000	     5699	      189	0.00
       16	    10946	    30000	     8234	      274	0.00
       16	    17711	    30000	    13668	      455	0.00
       16	    28657	    30000	    18128	      604	0.00
       16	    46368	    30000	    30286	     1009	0.00
       24	        1	    30000	      101	        3	0.00
       24	        2	    30000	      105	        3	0.00
       24	        3	    30000	      102	        3	0.00
       24	        5	    30000	      100	        3	0.00
       24	        8	    30000	      106	        3	0.00
       24	       13	    30000	      115	        3	0.00
       24	       21	    30000	      122	        4	0.00
       24	       34	    30000	      136	        4	0.00
       24	       55	    30000	      155	        5	0.00
       24	       89	    30000	      178	        5	0.00
       24	      144	    30000	      239	        7	0.00
       24	      233	    30000	      335	       11	0.00
       24	      377	    30000	      474	       15	0.00
       24	      610	    30000	      681	       22	0.00
       24	      987	    30000	     1072	       35	0.00
       24	     1597	    30000	     1622	       54	0.00
       24	     2584	    30000	     2584	       86	0.00
       24	     4181	    30000	     3841	      128	0.00
       24	     6765	    30000	     6204	      206	0.00
       24	    10946	    30000	     9658	      321	0.00
       24	    17711	    30000	    14784	      492	0.00
       24	    28657	    30000	    20742	      691	0.00
       24	    46368	    30000	    33513	     1117	0.00
       32	        1	    30000	      111	        3	0.00
       32	        2	    30000	      105	        3	0.00
       32	        3	    30000	      105	        3	0.00
       32	        5	    30000	      106	        3	0.00
       32	        8	    30000	      122	        4	0.00
       32	       13	    30000	      119	        3	0.00
       32	       21	    30000	      133	        4	0.00
       32	       34	    30000	      138	        4	0.00
       32	       55	    30000	      168	        5	0.00
       32	       89	    30000	      215	        7	0.00
       32	      144	    30000	      245	        8	0.00
       32	      233	    30000	      319	       10	0.00
       32	      377	    30000	      475	       15	0.00
       32	      610	    30000	      742	       24	0.00
       32	      987	    30000	     1089	       36	0.00
       32	     1597	    30000	     1668	       55	0.00
       32	     2584	    30000	     2582	       86	0.00
       32	     4181	    30000	     4345	      144	0.00
       32	     6765	    30000	     6312	      210	0.00
       32	    10946	    30000	     9850	      328	0.00
       32	    17711	    30000	    13566	      452	0.00
       32	    28657	    30000	    23553	      785	0.00
       32	    46368	    30000	    35979	     1199	0.00
    
