
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      415	       13	0.00
        2	        2	    30000	      206	        6	0.00
        2	        3	    30000	      267	        8	0.00
        2	        5	    30000	      195	        6	0.00
        2	        8	    30000	      368	       12	0.00
        2	       13	    30000	      523	       17	0.00
        2	       21	    30000	      618	       20	0.00
        2	       34	    30000	     1020	       34	0.00
        2	       55	    30000	     1369	       45	0.00
        2	       89	    30000	     1785	       59	0.00
        2	      144	    30000	     2813	       93	0.00
        2	      233	    30000	     4987	      166	0.00
        2	      377	    30000	     7283	      242	0.00
        2	      610	    30000	    12160	      405	0.00
        2	      987	    30000	    19346	      644	0.00
        2	     1597	    30000	    31442	     1048	0.00
        2	     2584	    30000	    57750	     1925	0.00
        2	     4181	    30000	    65496	     2183	0.00
        2	     6765	    30000	   119524	     3984	0.00
        2	    10946	    30000	   222714	     7423	0.00
        2	    17711	    30000	   333083	    11102	0.00
        2	    28657	    30000	   530209	    17673	0.00
        2	    46368	    30000	   827681	    27589	0.00
        4	        1	    30000	      142	        4	0.00
        4	        2	    30000	      149	        4	0.00
        4	        3	    30000	      144	        4	0.00
        4	        5	    30000	      151	        5	0.00
        4	        8	    30000	      205	        6	0.00
        4	       13	    30000	      291	        9	0.00
        4	       21	    30000	      314	       10	0.00
        4	       34	    30000	      488	       16	0.00
        4	       55	    30000	      591	       19	0.00
        4	       89	    30000	      544	       18	0.00
        4	      144	    30000	     1195	       39	0.00
        4	      233	    30000	     1370	       45	0.00
        4	      377	    30000	     2434	       81	0.00
        4	      610	    30000	     4596	      153	0.00
        4	      987	    30000	     6720	      224	0.00
        4	     1597	    30000	    14026	      467	0.00
        4	     2584	    30000	    20373	      679	0.00
        4	     4181	    30000	    29935	      997	0.00
        4	     6765	    30000	    49606	     1653	0.00
        4	    10946	    30000	    93631	     3121	0.00
        4	    17711	    30000	   111426	     3714	0.00
        4	    28657	    30000	   194849	     6494	0.00
        4	    46368	    30000	   289995	     9666	0.00
        8	        1	    30000	      138	        4	0.00
        8	        2	    30000	      146	        4	0.00
        8	        3	    30000	      158	        5	0.00
        8	        5	    30000	      253	        8	0.00
        8	        8	    30000	      204	        6	0.00
        8	       13	    30000	      210	        7	0.00
        8	       21	    30000	      232	        7	0.00
        8	       34	    30000	      327	       10	0.00
        8	       55	    30000	      218	        7	0.00
        8	       89	    30000	      316	       10	0.00
        8	      144	    30000	      449	       14	0.00
        8	      233	    30000	      752	       25	0.00
        8	      377	    30000	      686	       22	0.00
        8	      610	    30000	      960	       32	0.00
        8	      987	    30000	     1940	       64	0.00
        8	     1597	    30000	     2747	       91	0.00
        8	     2584	    30000	     3821	      127	0.00
        8	     4181	    30000	     6159	      205	0.00
        8	     6765	    30000	    11056	      368	0.00
        8	    10946	    30000	    16693	      556	0.00
        8	    17711	    30000	    27053	      901	0.00
        8	    28657	    30000	    42183	     1406	0.00
        8	    46368	    30000	    70037	     2334	0.00
       16	        1	    30000	      122	        4	0.00
       16	        2	    30000	      142	        4	0.00
       16	        3	    30000	      143	        4	0.00
       16	        5	    30000	      140	        4	0.00
       16	        8	    30000	      129	        4	0.00
       16	       13	    30000	      134	        4	0.00
       16	       21	    30000	      141	        4	0.00
       16	       34	    30000	      154	        5	0.00
       16	       55	    30000	      192	        6	0.00
       16	       89	    30000	      229	        7	0.00
       16	      144	    30000	      271	        9	0.00
       16	      233	    30000	      373	       12	0.00
       16	      377	    30000	      559	       18	0.00
       16	      610	    30000	      811	       27	0.00
