
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	     1000	      371	      371	0.00
        2	        2	     1000	       23	       23	0.00
        2	        3	     1000	       48	       48	0.00
        2	        5	     1000	       30	       30	0.00
        2	        8	     1000	       24	       24	0.00
        2	       13	     1000	       18	       18	0.00
        2	       21	     1000	       28	       28	0.00
        2	       34	     1000	       40	       40	0.00
        2	       55	     1000	       70	       70	0.00
        2	       89	     1000	      115	      115	0.00
        2	      144	     1000	       90	       90	0.00
        2	      233	     1000	      233	      233	0.00
        2	      377	     1000	      356	      356	0.00
        2	      610	     1000	      476	      476	0.00
        2	      987	     1000	      722	      722	0.00
        2	     1597	     1000	     1030	     1030	0.00
        2	     2584	     1000	     2406	     2406	0.00
        2	     4181	     1000	     3135	     3135	0.00
        2	     6765	     1000	     4531	     4531	0.00
        2	    10946	     1000	     7495	     7495	0.00
        2	    17711	     1000	    11827	    11827	0.00
        2	    28657	     1000	    17684	    17684	0.00
        2	    46368	     1000	    28664	    28664	0.00
        4	        1	     1000	        4	        4	0.00
        4	        2	     1000	        4	        4	0.00
        4	        3	     1000	        5	        5	0.00
        4	        5	     1000	        5	        5	0.00
        4	        8	     1000	        5	        5	0.00
        4	       13	     1000	        8	        8	0.00
        4	       21	     1000	       13	       13	0.00
        4	       34	     1000	       14	       14	0.00
        4	       55	     1000	       24	       24	0.00
        4	       89	     1000	       36	       36	0.00
        4	      144	     1000	       49	       49	0.00
        4	      233	     1000	       93	       93	0.00
        4	      377	     1000	      138	      138	0.00
        4	      610	     1000	      187	      187	0.00
        4	      987	     1000	      374	      374	0.00
        4	     1597	     1000	      473	      473	0.00
        4	     2584	     1000	      817	      817	0.00
        4	     4181	     1000	     1325	     1325	0.00
        4	     6765	     1000	     2097	     2097	0.00
        4	    10946	     1000	     3398	     3398	0.00
        4	    17711	     1000	     5567	     5567	0.00
        4	    28657	     1000	     9040	     9040	0.00
        4	    46368	     1000	    14474	    14474	0.00
        8	        1	     1000	        4	        4	0.00
        8	        2	     1000	        4	        4	0.00
        8	        3	     1000	        4	        4	0.00
        8	        5	     1000	        5	        5	0.00
        8	        8	     1000	        6	        6	0.00
        8	       13	     1000	        7	        7	0.00
        8	       21	     1000	        9	        9	0.00
        8	       34	     1000	       12	       12	0.00
        8	       55	     1000	       19	       19	0.00
        8	       89	     1000	       23	       23	0.00
        8	      144	     1000	       47	       47	0.00
        8	      233	     1000	       71	       71	0.00
        8	      377	     1000	      115	      115	0.00
        8	      610	     1000	      194	      194	0.00
        8	      987	     1000	      307	      307	0.00
        8	     1597	     1000	      463	      463	0.00
        8	     2584	     1000	      671	      671	0.00
        8	     4181	     1000	     1062	     1062	0.00
        8	     6765	     1000	     1705	     1705	0.00
        8	    10946	     1000	     2805	     2805	0.00
        8	    17711	     1000	     4529	     4529	0.00
        8	    28657	     1000	     7447	     7447	0.00
        8	    46368	     1000	    12567	    12567	0.00
       16	        1	     1000	        5	        5	0.00
       16	        2	     1000	        5	        5	0.00
       16	        3	     1000	        5	        5	0.00
       16	        5	     1000	        6	        6	0.00
       16	        8	     1000	        7	        7	0.00
       16	       13	     1000	        9	        9	0.00
       16	       21	     1000	       12	       12	0.00
       16	       34	     1000	       17	       17	0.00
       16	       55	     1000	       25	       25	0.00
       16	       89	     1000	       39	       39	0.00
       16	      144	     1000	       65	       65	0.00
       16	      233	     1000	      105	      105	0.00
       16	      377	     1000	      162	      162	0.00
       16	      610	     1000	      273	      273	0.00
       16	      987	     1000	      378	      378	0.00
       16	     1597	     1000	      603	      603	0.00
       16	     2584	     1000	      902	      902	0.00
       16	     4181	     1000	     1437	     1437	0.00
       16	     6765	     1000	     2437	     2437	0.00
       16	    10946	     1000	     3813	     3813	0.00
       16	    17711	     1000	     6340	     6340	0.00
       16	    28657	     1000	    10175	    10175	0.00
       16	    46368	     1000	    17287	    17287	0.00
       24	        1	     1000	       11	       11	0.00
       24	        2	     1000	        4	        4	0.00
       24	        3	     1000	        5	        5	0.00
       24	        5	     1000	        7	        7	0.00
       24	        8	     1000	        8	        8	0.00
       24	       13	     1000	        9	        9	0.00
       24	       21	     1000	       14	       14	0.00
       24	       34	     1000	       68	       68	0.00
       24	       55	     1000	       26	       26	0.00
       24	       89	     1000	       47	       47	0.00
       24	      144	     1000	       77	       77	0.00
       24	      233	     1000	      104	      104	0.00
       24	      377	     1000	      215	      215	0.00
       24	      610	     1000	      335	      335	0.00
       24	      987	     1000	      491	      491	0.00
       24	     1597	     1000	      754	      754	0.00
       24	     2584	     1000	     1391	     1391	0.00
       24	     4181	     1000	     2120	     2120	0.00
       24	     6765	     1000	     3236	     3236	0.00
       24	    10946	     1000	     5393	     5393	0.00
       24	    17711	     1000	    10914	    10914	0.00
       24	    28657	     1000	    24700	    24700	0.00
       24	    46368	     1000	    34170	    34170	0.00
       32	        1	     1000	        5	        5	0.00
       32	        2	     1000	        5	        5	0.00
       32	        3	     1000	        8	        8	0.00
       32	        5	     1000	       14	       14	0.00
       32	        8	     1000	       12	       12	0.00
       32	       13	     1000	       31	       31	0.00
       32	       21	     1000	       18	       18	0.00
       32	       34	     1000	       31	       31	0.00
       32	       55	     1000	       43	       43	0.00
       32	       89	     1000	       70	       70	0.00
       32	      144	     1000	      106	      106	0.00
       32	      233	     1000	      189	      189	0.00
       32	      377	     1000	      355	      355	0.00
       32	      610	     1000	      502	      502	0.00
       32	      987	     1000	      787	      787	0.00
       32	     1597	     1000	     1357	     1357	0.00
       32	     2584	     1000	     2167	     2167	0.00
       32	     4181	     1000	     3584	     3584	0.00
       32	     6765	     1000	     5585	     5585	0.00
       32	    10946	     1000	     9010	     9010	0.00
       32	    17711	     1000	    15820	    15820	0.00
       32	    28657	     1000	    25208	    25208	0.00
       32	    46368	     1000	    59874	    59874	0.00
    
