
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      496	       16	0.00
        2	        2	    30000	      397	       13	0.00
        2	        3	    30000	      478	       15	0.00
        2	        5	    30000	      420	       14	0.00
        2	        8	    30000	      462	       15	0.00
        2	       13	    30000	      646	       21	0.00
        2	       21	    30000	      554	       18	0.00
        2	       34	    30000	      809	       26	0.00
        2	       55	    30000	     1360	       45	0.00
        2	       89	    30000	     1591	       53	0.00
        2	      144	    30000	     2663	       88	0.00
        2	      233	    30000	     3797	      126	0.00
        2	      377	    30000	     5919	      197	0.00
        2	      610	    30000	     9016	      300	0.00
        2	      987	    30000	    14856	      495	0.00
        2	     1597	    30000	    24209	      806	0.00
        2	     2584	    30000	    37772	     1259	0.00
        2	     4181	    30000	    64265	     2142	0.00
        2	     6765	    30000	   100489	     3349	0.00
        2	    10946	    30000	   162016	     5400	0.00
        2	    17711	    30000	   265127	     8837	0.00
        2	    28657	    30000	   430699	    14356	0.00
        2	    46368	    30000	   691107	    23036	0.00
        4	        1	    30000	      698	       23	0.00
        4	        2	    30000	      698	       23	0.00
        4	        3	    30000	      733	       24	0.00
        4	        5	    30000	      742	       24	0.00
        4	        8	    30000	      711	       23	0.00
        4	       13	    30000	      771	       25	0.00
        4	       21	    30000	      759	       25	0.00
        4	       34	    30000	      804	       26	0.00
        4	       55	    30000	     1149	       38	0.00
        4	       89	    30000	     1067	       35	0.00
        4	      144	    30000	     1063	       35	0.00
        4	      233	    30000	     1837	       61	0.00
        4	      377	    30000	     2293	       76	0.00
        4	      610	    30000	     3953	      131	0.00
        4	      987	    30000	     4864	      162	0.00
        4	     1597	    30000	     8139	      271	0.00
        4	     2584	    30000	    12127	      404	0.00
        4	     4181	    30000	    19146	      638	0.00
        4	     6765	    30000	    30256	     1008	0.00
        4	    10946	    30000	    49403	     1646	0.00
        4	    17711	    30000	    77286	     2576	0.00
        4	    28657	    30000	   128303	     4276	0.00
        4	    46368	    30000	   207179	     6905	0.00
        8	        1	    30000	     1301	       43	0.00
        8	        2	    30000	     1234	       41	0.00
        8	        3	    30000	     1301	       43	0.00
        8	        5	    30000	     1329	       44	0.00
        8	        8	    30000	     1299	       43	0.00
        8	       13	    30000	     1287	       42	0.00
        8	       21	    30000	     1254	       41	0.00
        8	       34	    30000	     1315	       43	0.00
        8	       55	    30000	     1312	       43	0.00
        8	       89	    30000	     1375	       45	0.00
        8	      144	    30000	     1420	       47	0.00
        8	      233	    30000	     1339	       44	0.00
        8	      377	    30000	     1489	       49	0.00
        8	      610	    30000	     1728	       57	0.00
        8	      987	    30000	     1900	       63	0.00
        8	     1597	    30000	     2171	       72	0.00
        8	     2584	    30000	     2697	       89	0.00
        8	     4181	    30000	     3772	      125	0.00
        8	     6765	    30000	     5285	      176	0.00
        8	    10946	    30000	     7801	      260	0.00
        8	    17711	    30000	    11307	      376	0.00
