
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      122	        4	0.00
        2	        2	    30000	      170	        5	0.00
        2	        3	    30000	      150	        5	0.00
        2	        5	    30000	      168	        5	0.00
        2	        8	    30000	      243	        8	0.00
        2	       13	    30000	      234	        7	0.00
        2	       21	    30000	      436	       14	0.00
        2	       34	    30000	      502	       16	0.00
        2	       55	    30000	     1132	       37	0.00
        2	       89	    30000	     1627	       54	0.00
        2	      144	    30000	     2482	       82	0.00
        2	      233	    30000	     3467	      115	0.00
        2	      377	    30000	     5658	      188	0.00
        2	      610	    30000	     9062	      302	0.00
        2	      987	    30000	    14466	      482	0.00
        2	     1597	    30000	    24023	      800	0.00
        2	     2584	    30000	    38813	     1293	0.00
        2	     4181	    30000	    59417	     1980	0.00
        2	     6765	    30000	    98565	     3285	0.00
        2	    10946	    30000	   162693	     5423	0.00
        2	    17711	    30000	   271672	     9055	0.00
        2	    28657	    30000	   457393	    15246	0.00
        2	    46368	    30000	   773674	    25789	0.00
        4	        1	    30000	      118	        3	0.00
        4	        2	    30000	      172	        5	0.00
        4	        3	    30000	      140	        4	0.00
        4	        5	    30000	      182	        6	0.00
        4	        8	    30000	      223	        7	0.00
        4	       13	    30000	      153	        5	0.00
        4	       21	    30000	      218	        7	0.00
        4	       34	    30000	      311	       10	0.00
        4	       55	    30000	      429	       14	0.00
        4	       89	    30000	      647	       21	0.00
        4	      144	    30000	     1134	       37	0.00
        4	      233	    30000	     1537	       51	0.00
        4	      377	    30000	     2106	       70	0.00
        4	      610	    30000	     3336	      111	0.00
        4	      987	    30000	     5501	      183	0.00
        4	     1597	    30000	     8522	      284	0.00
        4	     2584	    30000	    13810	      460	0.00
        4	     4181	    30000	    21770	      725	0.00
        4	     6765	    30000	    34600	     1153	0.00
        4	    10946	    30000	    63380	     2112	0.00
        4	    17711	    30000	   106090	     3536	0.00
        4	    28657	    30000	   185958	     6198	0.00
        4	    46368	    30000	   357672	    11922	0.00
        8	        1	    30000	      115	        3	0.00
        8	        2	    30000	      120	        4	0.00
        8	        3	    30000	      122	        4	0.00
