
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	       90	        3	0.00
        2	        2	    30000	       90	        3	0.00
        2	        3	    30000	       97	        3	0.00
        2	        5	    30000	       93	        3	0.00
        2	        8	    30000	       87	        2	0.00
        2	       13	    30000	      101	        3	0.00
        2	       21	    30000	       92	        3	0.00
        2	       34	    30000	       94	        3	0.00
        2	       55	    30000	      105	        3	0.00
        2	       89	    30000	      116	        3	0.00
        2	      144	    30000	      123	        4	0.00
        2	      233	    30000	      146	        4	0.00
        2	      377	    30000	      166	        5	0.00
        2	      610	    30000	      233	        7	0.00
        2	      987	    30000	      340	       11	0.00
        2	     1597	    30000	      526	       17	0.00
        2	     2584	    30000	      751	       25	0.00
        2	     4181	    30000	     1146	       38	0.00
        2	     6765	    30000	     1579	       52	0.00
        2	    10946	    30000	     2674	       89	0.00
        2	    17711	    30000	     3830	      127	0.00
        2	    28657	    30000	     5850	      195	0.00
        2	    46368	    30000	     9544	      318	0.00
        4	        1	    30000	      101	        3	0.00
        4	        2	    30000	       92	        3	0.00
        4	        3	    30000	       96	        3	0.00
        4	        5	    30000	       93	        3	0.00
        4	        8	    30000	       96	        3	0.00
        4	       13	    30000	       85	        2	0.00
        4	       21	    30000	       97	        3	0.00
        4	       34	    30000	       95	        3	0.00
        4	       55	    30000	      101	        3	0.00
        4	       89	    30000	      110	        3	0.00
        4	      144	    30000	      113	        3	0.00
        4	      233	    30000	      111	        3	0.00
        4	      377	    30000	      135	        4	0.00
        4	      610	    30000	      161	        5	0.00
        4	      987	    30000	      187	        6	0.00
        4	     1597	    30000	      274	        9	0.00
        4	     2584	    30000	      336	       11	0.00
        4	     4181	    30000	      508	       16	0.00
        4	     6765	    30000	      771	       25	0.00
        4	    10946	    30000	     1220	       40	0.00
        4	    17711	    30000	     1745	       58	0.00
        4	    28657	    30000	     2857	       95	0.00
        4	    46368	    30000	     3833	      127	0.00
        8	        1	    30000	      106	        3	0.00
        8	        2	    30000	       91	        3	0.00
        8	        3	    30000	      107	        3	0.00
        8	        5	    30000	      106	        3	0.00
        8	        8	    30000	       91	        3	0.00
        8	       13	    30000	       95	        3	0.00
        8	       21	    30000	      107	        3	0.00
        8	       34	    30000	       95	        3	0.00
        8	       55	    30000	      122	        4	0.00
        8	       89	    30000	      107	        3	0.00
