
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      105	        3	0.00
        2	        2	    30000	      105	        3	0.00
        2	        3	    30000	      103	        3	0.00
        2	        5	    30000	      108	        3	0.00
        2	        8	    30000	      119	        3	0.00
        2	       13	    30000	      108	        3	0.00
        2	       21	    30000	      109	        3	0.00
        2	       34	    30000	      117	        3	0.00
        2	       55	    30000	      126	        4	0.00
        2	       89	    30000	      153	        5	0.00
        2	      144	    30000	      146	        4	0.00
        2	      233	    30000	      179	        5	0.00
        2	      377	    30000	      192	        6	0.00
        2	      610	    30000	      243	        8	0.00
        2	      987	    30000	      296	        9	0.00
        2	     1597	    30000	      437	       14	0.00
        2	     2584	    30000	      620	       20	0.00
        2	     4181	    30000	      925	       30	0.00
        2	     6765	    30000	     1359	       45	0.00
        2	    10946	    30000	     2069	       68	0.00
        2	    17711	    30000	     2864	       95	0.00
        2	    28657	    30000	     4533	      151	0.00
        2	    46368	    30000	     7156	      238	0.00
        4	        1	    30000	      112	        3	0.00
        4	        2	    30000	      112	        3	0.00
        4	        3	    30000	      118	        3	0.00
        4	        5	    30000	      118	        3	0.00
        4	        8	    30000	      111	        3	0.00
        4	       13	    30000	      130	        4	0.00
        4	       21	    30000	      124	        4	0.00
        4	       34	    30000	      135	        4	0.00
        4	       55	    30000	      149	        4	0.00
        4	       89	    30000	      155	        5	0.00
        4	      144	    30000	      143	        4	0.00
        4	      233	    30000	      150	        5	0.00
        4	      377	    30000	      158	        5	0.00
        4	      610	    30000	      180	        6	0.00
        4	      987	    30000	      176	        5	0.00
        4	     1597	    30000	      236	        7	0.00
        4	     2584	    30000	      278	        9	0.00
        4	     4181	    30000	      372	       12	0.00
        4	     6765	    30000	      474	       15	0.00
        4	    10946	    30000	      646	       21	0.00
        4	    17711	    30000	      653	       21	0.00
        4	    28657	    30000	      824	       27	0.00
        4	    46368	    30000	     1370	       45	0.00
        8	        1	    30000	      131	        4	0.00
        8	        2	    30000	      128	        4	0.00
        8	        3	    30000	      121	        4	0.00
        8	        5	    30000	      126	        4	0.00
        8	        8	    30000	      134	        4	0.00
        8	       13	    30000	      123	        4	0.00
        8	       21	    30000	      127	        4	0.00
        8	       34	    30000	      134	        4	0.00
        8	       55	    30000	      160	        5	0.00
        8	       89	    30000	      157	        5	0.00
        8	      144	    30000	      166	        5	0.00
        8	      233	    30000	      182	        6	0.00
        8	      377	    30000	      168	        5	0.00
        8	      610	    30000	      194	        6	0.00
        8	      987	    30000	      219	        7	0.00
        8	     1597	    30000	      273	        9	0.00
        8	     2584	    30000	      310	       10	0.00
        8	     4181	    30000	      418	       13	0.00
        8	     6765	    30000	      547	       18	0.00
        8	    10946	    30000	      684	       22	0.00
        8	    17711	    30000	      792	       26	0.00
        8	    28657	    30000	     1027	       34	0.00
        8	    46368	    30000	     1677	       55	0.00
       16	        1	    30000	      140	        4	0.00
       16	        2	    30000	      132	        4	0.00
       16	        3	    30000	      128	        4	0.00
       16	        5	    30000	      128	        4	0.00
       16	        8	    30000	      142	        4	0.00
       16	       13	    30000	      134	        4	0.00
       16	       21	    30000	      152	        5	0.00
       16	       34	    30000	      153	        5	0.00
       16	       55	    30000	      153	        5	0.00
       16	       89	    30000	      202	        6	0.00
       16	      144	    30000	      189	        6	0.00
       16	      233	    30000	      192	        6	0.00
       16	      377	    30000	      212	        7	0.00
       16	      610	    30000	      231	        7	0.00
       16	      987	    30000	      260	        8	0.00
       16	     1597	    30000	      314	       10	0.00
       16	     2584	    30000	      368	       12	0.00
       16	     4181	    30000	      471	       15	0.00
       16	     6765	    30000	      632	       21	0.00
       16	    10946	    30000	      850	       28	0.00
       16	    17711	    30000	      982	       32	0.00
       16	    28657	    30000	     1481	       49	0.00
       16	    46368	    30000	     2462	       82	0.00
       24	        1	    30000	      141	        4	0.00
       24	        2	    30000	      135	        4	0.00
       24	        3	    30000	      133	        4	0.00
       24	        5	    30000	      127	        4	0.00
       24	        8	    30000	      149	        4	0.00
       24	       13	    30000	      155	        5	0.00
       24	       21	    30000	      153	        5	0.00
       24	       34	    30000	      160	        5	0.00
       24	       55	    30000	      186	        6	0.00
       24	       89	    30000	      222	        7	0.00
       24	      144	    30000	      189	        6	0.00
       24	      233	    30000	      201	        6	0.00
       24	      377	    30000	      230	        7	0.00
       24	      610	    30000	      269	        8	0.00
       24	      987	    30000	      299	        9	0.00
       24	     1597	    30000	      357	       11	0.00
       24	     2584	    30000	      422	       14	0.00
       24	     4181	    30000	      554	       18	0.00
       24	     6765	    30000	      759	       25	0.00
       24	    10946	    30000	     1035	       34	0.00
       24	    17711	    30000	     1205	       40	0.00
       24	    28657	    30000	     1816	       60	0.00
       24	    46368	    30000	     3022	      100	0.00
       32	        1	    30000	      139	        4	0.00
       32	        2	    30000	      140	        4	0.00
       32	        3	    30000	      136	        4	0.00
       32	        5	    30000	      151	        5	0.00
       32	        8	    30000	      146	        4	0.00
       32	       13	    30000	      149	        4	0.00
       32	       21	    30000	      167	        5	0.00
       32	       34	    30000	      173	        5	0.00
       32	       55	    30000	      195	        6	0.00
       32	       89	    30000	      212	        7	0.00
       32	      144	    30000	      208	        6	0.00
       32	      233	    30000	      224	        7	0.00
       32	      377	    30000	      252	        8	0.00
       32	      610	    30000	      285	        9	0.00
       32	      987	    30000	      337	       11	0.00
       32	     1597	    30000	      394	       13	0.00
       32	     2584	    30000	      491	       16	0.00
       32	     4181	    30000	      641	       21	0.00
       32	     6765	    30000	      841	       28	0.00
       32	    10946	    30000	     1133	       37	0.00
       32	    17711	    30000	     1608	       53	0.00
       32	    28657	    30000	     2180	       72	0.00
       32	    46368	    30000	     3798	      126	0.00
    
