
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	     1000	        3	        3	0.00
        2	        2	     1000	        3	        3	0.00
        2	        3	     1000	        4	        4	0.00
        2	        5	     1000	        3	        3	0.00
        2	        8	     1000	        4	        4	0.00
        2	       13	     1000	        5	        5	0.00
        2	       21	     1000	        6	        6	0.00
        2	       34	     1000	        8	        8	0.00
        2	       55	     1000	       11	       11	0.00
        2	       89	     1000	       15	       15	0.00
        2	      144	     1000	       24	       24	0.00
        2	      233	     1000	       42	       42	0.00
        2	      377	     1000	       60	       60	0.00
        2	      610	     1000	      104	      104	0.00
        2	      987	     1000	      155	      155	0.00
        2	     1597	     1000	      238	      238	0.00
        2	     2584	     1000	      395	      395	0.00
        2	     4181	     1000	      606	      606	0.00
        2	     6765	     1000	      997	      997	0.00
        2	    10946	     1000	     1648	     1648	0.00
        2	    17711	     1000	     2766	     2766	0.00
        2	    28657	     1000	     4569	     4569	0.00
        2	    46368	     1000	     7750	     7750	0.00
        4	        1	     1000	        4	        4	0.00
        4	        2	     1000	        3	        3	0.00
        4	        3	     1000	        4	        4	0.00
        4	        5	     1000	        4	        4	0.00
        4	        8	     1000	        5	        5	0.00
        4	       13	     1000	        6	        6	0.00
        4	       21	     1000	        7	        7	0.00
        4	       34	     1000	       11	       11	0.00
        4	       55	     1000	       14	       14	0.00
        4	       89	     1000	       22	       22	0.00
        4	      144	     1000	       35	       35	0.00
        4	      233	     1000	       55	       55	0.00
        4	      377	     1000	       88	       88	0.00
        4	      610	     1000	      131	      131	0.00
        4	      987	     1000	      210	      210	0.00
        4	     1597	     1000	      338	      338	0.00
        4	     2584	     1000	      502	      502	0.00
        4	     4181	     1000	      712	      712	0.00
        4	     6765	     1000	     1198	     1198	0.00
        4	    10946	     1000	     1944	     1944	0.00
        4	    17711	     1000	     3168	     3168	0.00
        4	    28657	     1000	     5273	     5273	0.00
        4	    46368	     1000	     8998	     8998	0.00
        8	        1	     1000	        4	        4	0.00
        8	        2	     1000	        4	        4	0.00
        8	        3	     1000	        4	        4	0.00
        8	        5	     1000	        5	        5	0.00
        8	        8	     1000	        6	        6	0.00
        8	       13	     1000	        7	        7	0.00
        8	       21	     1000	       10	       10	0.00
        8	       34	     1000	       11	       11	0.00
        8	       55	     1000	       15	       15	0.00
        8	       89	     1000	       23	       23	0.00
        8	      144	     1000	       41	       41	0.00
        8	      233	     1000	       57	       57	0.00
        8	      377	     1000	      107	      107	0.00
        8	      610	     1000	      180	      180	0.00
        8	      987	     1000	      269	      269	0.00
        8	     1597	     1000	      405	      405	0.00
        8	     2584	     1000	      653	      653	0.00
        8	     4181	     1000	      997	      997	0.00
        8	     6765	     1000	     1637	     1637	0.00
        8	    10946	     1000	     2547	     2547	0.00
        8	    17711	     1000	     4206	     4206	0.00
        8	    28657	     1000	     7097	     7097	0.00
        8	    46368	     1000	    11496	    11496	0.00
       16	        1	     1000	        4	        4	0.00
       16	        2	     1000	        5	        5	0.00
       16	        3	     1000	        5	        5	0.00
       16	        5	     1000	        5	        5	0.00
       16	        8	     1000	        7	        7	0.00
       16	       13	     1000	        8	        8	0.00
       16	       21	     1000	       12	       12	0.00
       16	       34	     1000	       17	       17	0.00
       16	       55	     1000	       24	       24	0.00
       16	       89	     1000	       34	       34	0.00
       16	      144	     1000	       63	       63	0.00
       16	      233	     1000	       93	       93	0.00
       16	      377	     1000	      152	      152	0.00
       16	      610	     1000	      271	      271	0.00
       16	      987	     1000	      325	      325	0.00
       16	     1597	     1000	      587	      587	0.00
       16	     2584	     1000	      889	      889	0.00
       16	     4181	     1000	     1432	     1432	0.00
       16	     6765	     1000	     2352	     2352	0.00
       16	    10946	     1000	     3823	     3823	0.00
       16	    17711	     1000	     6391	     6391	0.00
       16	    28657	     1000	    10568	    10568	0.00
       16	    46368	     1000	    16653	    16653	0.00
       24	        1	     1000	        4	        4	0.00
       24	        2	     1000	        5	        5	0.00
       24	        3	     1000	        5	        5	0.00
       24	        5	     1000	        7	        7	0.00
       24	        8	     1000	        8	        8	0.00
       24	       13	     1000	       10	       10	0.00
       24	       21	     1000	       14	       14	0.00
       24	       34	     1000	       22	       22	0.00
       24	       55	     1000	       32	       32	0.00
       24	       89	     1000	       52	       52	0.00
       24	      144	     1000	       69	       69	0.00
       24	      233	     1000	      110	      110	0.00
       24	      377	     1000	      214	      214	0.00
       24	      610	     1000	      315	      315	0.00
       24	      987	     1000	      460	      460	0.00
       24	     1597	     1000	      722	      722	0.00
       24	     2584	     1000	     1171	     1171	0.00
       24	     4181	     1000	     2039	     2039	0.00
       24	     6765	     1000	     3274	     3274	0.00
       24	    10946	     1000	     5349	     5349	0.00
       24	    17711	     1000	     8735	     8735	0.00
       24	    28657	     1000	    14306	    14306	0.00
       24	    46368	     1000	    23279	    23279	0.00
       32	        1	     1000	        5	        5	0.00
       32	        2	     1000	        4	        4	0.00
       32	        3	     1000	        5	        5	0.00
       32	        5	     1000	        6	        6	0.00
       32	        8	     1000	        7	        7	0.00
       32	       13	     1000	       10	       10	0.00
       32	       21	     1000	       15	       15	0.00
       32	       34	     1000	       20	       20	0.00
       32	       55	     1000	       32	       32	0.00
       32	       89	     1000	       51	       51	0.00
       32	      144	     1000	       82	       82	0.00
       32	      233	     1000	      132	      132	0.00
       32	      377	     1000	      219	      219	0.00
       32	      610	     1000	      356	      356	0.00
       32	      987	     1000	      550	      550	0.00
       32	     1597	     1000	      890	      890	0.00
       32	     2584	     1000	     1461	     1461	0.00
       32	     4181	     1000	     2368	     2368	0.00
       32	     6765	     1000	     3987	     3987	0.00
       32	    10946	     1000	     6540	     6540	0.00
       32	    17711	     1000	    10707	    10707	0.00
       32	    28657	     1000	    17414	    17414	0.00
       32	    46368	     1000	    28477	    28477	0.00
    
