
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      530	       17	0.00
        2	        2	    30000	      448	       14	0.00
        2	        3	    30000	      460	       15	0.00
        2	        5	    30000	      440	       14	0.00
        2	        8	    30000	      419	       13	0.00
        2	       13	    30000	      443	       14	0.00
        2	       21	    30000	      435	       14	0.00
        2	       34	    30000	      438	       14	0.00
        2	       55	    30000	      439	       14	0.00
        2	       89	    30000	      459	       15	0.00
        2	      144	    30000	      491	       16	0.00
        2	      233	    30000	      513	       17	0.00
        2	      377	    30000	      518	       17	0.00
        2	      610	    30000	      567	       18	0.00
        2	      987	    30000	      596	       19	0.00
        2	     1597	    30000	      716	       23	0.00
        2	     2584	    30000	     1019	       33	0.00
        2	     4181	    30000	     1232	       41	0.00
        2	     6765	    30000	     1705	       56	0.00
        2	    10946	    30000	     2377	       79	0.00
        2	    17711	    30000	     3512	      117	0.00
        2	    28657	    30000	     5576	      185	0.00
        2	    46368	    30000	     8410	      280	0.00
        4	        1	    30000	      716	       23	0.00
        4	        2	    30000	      715	       23	0.00
        4	        3	    30000	      717	       23	0.00
        4	        5	    30000	      713	       23	0.00
        4	        8	    30000	      709	       23	0.00
        4	       13	    30000	      697	       23	0.00
        4	       21	    30000	      689	       22	0.00
        4	       34	    30000	      683	       22	0.00
        4	       55	    30000	      665	       22	0.00
        4	       89	    30000	      699	       23	0.00
        4	      144	    30000	      685	       22	0.00
        4	      233	    30000	      675	       22	0.00
        4	      377	    30000	      757	       25	0.00
        4	      610	    30000	      737	       24	0.00
        4	      987	    30000	      795	       26	0.00
        4	     1597	    30000	      829	       27	0.00
        4	     2584	    30000	      822	       27	0.00
        4	     4181	    30000	      913	       30	0.00
        4	     6765	    30000	      973	       32	0.00
        4	    10946	    30000	     1178	       39	0.00
        4	    17711	    30000	     1470	       49	0.00
        4	    28657	    30000	     2049	       68	0.00
        4	    46368	    30000	     2567	       85	0.00
        8	        1	    30000	     1216	       40	0.00
        8	        2	    30000	     1265	       42	0.00
        8	        3	    30000	     1332	       44	0.00
        8	        5	    30000	     1254	       41	0.00
        8	        8	    30000	     1296	       43	0.00
        8	       13	    30000	     1363	       45	0.00
        8	       21	    30000	     1249	       41	0.00
        8	       34	    30000	     1366	       45	0.00
        8	       55	    30000	     1320	       44	0.00
        8	       89	    30000	     1339	       44	0.00
        8	      144	    30000	     1316	       43	0.00
        8	      233	    30000	     1380	       46	0.00
        8	      377	    30000	     1340	       44	0.00
        8	      610	    30000	     1281	       42	0.00
        8	      987	    30000	     1410	       47	0.00
        8	     1597	    30000	     1378	       45	0.00
        8	     2584	    30000	     1462	       48	0.00
        8	     4181	    30000	     1605	       53	0.00
        8	     6765	    30000	     1716	       57	0.00
        8	    10946	    30000	     2138	       71	0.00
        8	    17711	    30000	     2093	       69	0.00
        8	    28657	    30000	     2581	       86	0.00
        8	    46368	    30000	     4097	      136	0.00
       16	        1	    30000	     2599	       86	0.00
       16	        2	    30000	     2785	       92	0.00
       16	        3	    30000	     2753	       91	0.00
       16	        5	    30000	     2830	       94	0.00
       16	        8	    30000	     2818	       93	0.00
       16	       13	    30000	     2678	       89	0.00
       16	       21	    30000	     2680	       89	0.00
       16	       34	    30000	     2775	       92	0.00
       16	       55	    30000	     2716	       90	0.00
       16	       89	    30000	     2746	       91	0.00
       16	      144	    30000	     2675	       89	0.00
       16	      233	    30000	     2635	       87	0.00
       16	      377	    30000	     2702	       90	0.00
       16	      610	    30000	     2789	       92	0.00
       16	      987	    30000	     2841	       94	0.00
       16	     1597	    30000	     2915	       97	0.00
       16	     2584	    30000	     2920	       97	0.00
       16	     4181	    30000	     2786	       92	0.00
       16	     6765	    30000	     3270	      109	0.00
       16	    10946	    30000	     3462	      115	0.00
       16	    17711	    30000	     3697	      123	0.00
       16	    28657	    30000	     4381	      146	0.00
       16	    46368	    30000	     6596	      219	0.00
       24	        1	    30000	     4827	      160	0.00
       24	        2	    30000	     4727	      157	0.00
       24	        3	    30000	     4622	      154	0.00
       24	        5	    30000	     4752	      158	0.00
       24	        8	    30000	     4746	      158	0.00
       24	       13	    30000	     4801	      160	0.00
       24	       21	    30000	     4896	      163	0.00
       24	       34	    30000	     4714	      157	0.00
       24	       55	    30000	     4959	      165	0.00
       24	       89	    30000	     4789	      159	0.00
       24	      144	    30000	     4768	      158	0.00
       24	      233	    30000	     4992	      166	0.00
       24	      377	    30000	     4856	      161	0.00
       24	      610	    30000	     4743	      158	0.00
       24	      987	    30000	     4663	      155	0.00
       24	     1597	    30000	     4936	      164	0.00
       24	     2584	    30000	     5089	      169	0.00
       24	     4181	    30000	     5025	      167	0.00
       24	     6765	    30000	     5463	      182	0.00
       24	    10946	    30000	     5741	      191	0.00
       24	    17711	    30000	     6925	      230	0.00
       24	    28657	    30000	     7850	      261	0.00
       24	    46368	    30000	    10137	      337	0.00
       32	        1	    30000	     7268	      242	0.00
       32	        2	    30000	     7454	      248	0.00
       32	        3	    30000	     7156	      238	0.00
       32	        5	    30000	     7324	      244	0.00
       32	        8	    30000	     7286	      242	0.00
       32	       13	    30000	     7382	      246	0.00
       32	       21	    30000	     7215	      240	0.00
       32	       34	    30000	     7322	      244	0.00
       32	       55	    30000	     7178	      239	0.00
       32	       89	    30000	     7280	      242	0.00
       32	      144	    30000	     7170	      239	0.00
       32	      233	    30000	     7333	      244	0.00
       32	      377	    30000	     7355	      245	0.00
       32	      610	    30000	     7206	      240	0.00
       32	      987	    30000	     7248	      241	0.00
       32	     1597	    30000	     7575	      252	0.00
       32	     2584	    30000	     7662	      255	0.00
       32	     4181	    30000	     7779	      259	0.00
       32	     6765	    30000	     7822	      260	0.00
       32	    10946	    30000	     8734	      291	0.00
       32	    17711	    30000	     9629	      320	0.00
       32	    28657	    30000	    10467	      348	0.00
       32	    46368	    30000	    13598	      453	0.00
    
