
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      111	        3	0.00
        2	        2	    30000	      124	        4	0.00
        2	        3	    30000	      122	        4	0.00
        2	        5	    30000	      105	        3	0.00
        2	        8	    30000	      129	        4	0.00
        2	       13	    30000	      134	        4	0.00
        2	       21	    30000	      132	        4	0.00
        2	       34	    30000	      145	        4	0.00
        2	       55	    30000	      167	        5	0.00
        2	       89	    30000	      206	        6	0.00
        2	      144	    30000	      188	        6	0.00
        2	      233	    30000	      223	        7	0.00
        2	      377	    30000	      262	        8	0.00
        2	      610	    30000	      306	       10	0.00
        2	      987	    30000	      368	       12	0.00
        2	     1597	    30000	      481	       16	0.00
        2	     2584	    30000	      649	       21	0.00
        2	     4181	    30000	      849	       28	0.00
        2	     6765	    30000	     1363	       45	0.00
        2	    10946	    30000	     1945	       64	0.00
        2	    17711	    30000	     3040	      101	0.00
        2	    28657	    30000	     4909	      163	0.00
        2	    46368	    30000	     7677	      255	0.00
        4	        1	    30000	      129	        4	0.00
        4	        2	    30000	      127	        4	0.00
        4	        3	    30000	      128	        4	0.00
        4	        5	    30000	      122	        4	0.00
        4	        8	    30000	      131	        4	0.00
        4	       13	    30000	      140	        4	0.00
        4	       21	    30000	      137	        4	0.00
        4	       34	    30000	      152	        5	0.00
        4	       55	    30000	      174	        5	0.00
        4	       89	    30000	      191	        6	0.00
        4	      144	    30000	      193	        6	0.00
        4	      233	    30000	      212	        7	0.00
        4	      377	    30000	      207	        6	0.00
        4	      610	    30000	      202	        6	0.00
        4	      987	    30000	      211	        7	0.00
        4	     1597	    30000	      241	        8	0.00
        4	     2584	    30000	      299	        9	0.00
        4	     4181	    30000	      342	       11	0.00
        4	     6765	    30000	      412	       13	0.00
        4	    10946	    30000	      551	       18	0.00
        4	    17711	    30000	      768	       25	0.00
        4	    28657	    30000	      943	       31	0.00
        4	    46368	    30000	     1584	       52	0.00
        8	        1	    30000	      127	        4	0.00
        8	        2	    30000	      128	        4	0.00
        8	        3	    30000	      131	        4	0.00
        8	        5	    30000	      117	        3	0.00
        8	        8	    30000	      133	        4	0.00
        8	       13	    30000	      125	        4	0.00
        8	       21	    30000	      139	        4	0.00
        8	       34	    30000	      158	        5	0.00
        8	       55	    30000	      164	        5	0.00
        8	       89	    30000	      222	        7	0.00
        8	      144	    30000	      198	        6	0.00
        8	      233	    30000	      208	        6	0.00
        8	      377	    30000	      219	        7	0.00
        8	      610	    30000	      262	        8	0.00
        8	      987	    30000	      236	        7	0.00
        8	     1597	    30000	      310	       10	0.00
        8	     2584	    30000	      354	       11	0.00
        8	     4181	    30000	      413	       13	0.00
        8	     6765	    30000	      639	       21	0.00
        8	    10946	    30000	      748	       24	0.00
        8	    17711	    30000	     1044	       34	0.00
        8	    28657	    30000	     1613	       53	0.00
        8	    46368	    30000	     2456	       81	0.00
       16	        1	    30000	      125	        4	0.00
       16	        2	    30000	      121	        4	0.00
       16	        3	    30000	      126	        4	0.00
       16	        5	    30000	      133	        4	0.00
       16	        8	    30000	      137	        4	0.00
       16	       13	    30000	      156	        5	0.00
       16	       21	    30000	      167	        5	0.00
       16	       34	    30000	      168	        5	0.00
