
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	       85	        2	0.00
        2	        2	    30000	       95	        3	0.00
        2	        3	    30000	       89	        2	0.00
        2	        5	    30000	       86	        2	0.00
        2	        8	    30000	       92	        3	0.00
        2	       13	    30000	       81	        2	0.00
        2	       21	    30000	       94	        3	0.00
        2	       34	    30000	       93	        3	0.00
        2	       55	    30000	      110	        3	0.00
        2	       89	    30000	      100	        3	0.00
        2	      144	    30000	      132	        4	0.00
        2	      233	    30000	      150	        5	0.00
        2	      377	    30000	      174	        5	0.00
        2	      610	    30000	      210	        7	0.00
        2	      987	    30000	      335	       11	0.00
        2	     1597	    30000	      462	       15	0.00
        2	     2584	    30000	      726	       24	0.00
        2	     4181	    30000	     1081	       36	0.00
        2	     6765	    30000	     1558	       51	0.00
        2	    10946	    30000	     2447	       81	0.00
        2	    17711	    30000	     3708	      123	0.00
        2	    28657	    30000	     5739	      191	0.00
        2	    46368	    30000	     9283	      309	0.00
        4	        1	    30000	      100	        3	0.00
        4	        2	    30000	       87	        2	0.00
        4	        3	    30000	       85	        2	0.00
        4	        5	    30000	       95	        3	0.00
        4	        8	    30000	       96	        3	0.00
        4	       13	    30000	       88	        2	0.00
        4	       21	    30000	       93	        3	0.00
        4	       34	    30000	      102	        3	0.00
        4	       55	    30000	       94	        3	0.00
        4	       89	    30000	      104	        3	0.00
        4	      144	    30000	      112	        3	0.00
        4	      233	    30000	      104	        3	0.00
        4	      377	    30000	      119	        3	0.00
        4	      610	    30000	      148	        4	0.00
        4	      987	    30000	      189	        6	0.00
        4	     1597	    30000	      257	        8	0.00
        4	     2584	    30000	      356	       11	0.00
        4	     4181	    30000	      515	       17	0.00
        4	     6765	    30000	      782	       26	0.00
        4	    10946	    30000	     1133	       37	0.00
        4	    17711	    30000	     1779	       59	0.00
        4	    28657	    30000	     2722	       90	0.00
        4	    46368	    30000	     3612	      120	0.00
        8	        1	    30000	       93	        3	0.00
        8	        2	    30000	      101	        3	0.00
        8	        3	    30000	      106	        3	0.00
        8	        5	    30000	      106	        3	0.00
        8	        8	    30000	       97	        3	0.00
        8	       13	    30000	       92	        3	0.00
        8	       21	    30000	       93	        3	0.00
        8	       34	    30000	      101	        3	0.00
        8	       55	    30000	      109	        3	0.00
        8	       89	    30000	      109	        3	0.00
        8	      144	    30000	      105	        3	0.00
        8	      233	    30000	      113	        3	0.00
        8	      377	    30000	      141	        4	0.00
        8	      610	    30000	      167	        5	0.00
        8	      987	    30000	      206	        6	0.00
        8	     1597	    30000	      258	        8	0.00
        8	     2584	    30000	      392	       13	0.00
        8	     4181	    30000	      513	       17	0.00
        8	     6765	    30000	      865	       28	0.00
        8	    10946	    30000	     1296	       43	0.00
        8	    17711	    30000	     1978	       65	0.00
        8	    28657	    30000	     2680	       89	0.00
        8	    46368	    30000	     4286	      142	0.00
       16	        1	    30000	      104	        3	0.00
       16	        2	    30000	      105	        3	0.00
       16	        3	    30000	      112	        3	0.00
       16	        5	    30000	       99	        3	0.00
       16	        8	    30000	      108	        3	0.00
       16	       13	    30000	      102	        3	0.00
       16	       21	    30000	      108	        3	0.00
       16	       34	    30000	      110	        3	0.00
       16	       55	    30000	      126	        4	0.00
       16	       89	    30000	      111	        3	0.00
       16	      144	    30000	      125	        4	0.00
       16	      233	    30000	      132	        4	0.00
       16	      377	    30000	      157	        5	0.00
       16	      610	    30000	      191	        6	0.00
       16	      987	    30000	      243	        8	0.00
       16	     1597	    30000	      302	       10	0.00
       16	     2584	    30000	      452	       15	0.00
       16	     4181	    30000	      662	       22	0.00
       16	     6765	    30000	      975	       32	0.00
       16	    10946	    30000	     1496	       49	0.00
       16	    17711	    30000	     2074	       69	0.00
       16	    28657	    30000	     3353	      111	0.00
       16	    46368	    30000	     5134	      171	0.00
       24	        1	    30000	      124	        4	0.00
       24	        2	    30000	      104	        3	0.00
       24	        3	    30000	      118	        3	0.00
       24	        5	    30000	      113	        3	0.00
       24	        8	    30000	      117	        3	0.00
       24	       13	    30000	      116	        3	0.00
       24	       21	    30000	      128	        4	0.00
       24	       34	    30000	      110	        3	0.00
       24	       55	    30000	      130	        4	0.00
       24	       89	    30000	      118	        3	0.00
       24	      144	    30000	      146	        4	0.00
       24	      233	    30000	      152	        5	0.00
       24	      377	    30000	      183	        6	0.00
       24	      610	    30000	      225	        7	0.00
       24	      987	    30000	      304	       10	0.00
       24	     1597	    30000	      367	       12	0.00
       24	     2584	    30000	      551	       18	0.00
       24	     4181	    30000	      809	       26	0.00
       24	     6765	    30000	     1307	       43	0.00
       24	    10946	    30000	     1748	       58	0.00
       24	    17711	    30000	     2791	       93	0.00
