
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      155	        5	6100.00
        2	        2	    30000	      252	        8	12750.00
        2	        3	    30000	      157	        5	18366.67
        2	        5	    30000	      156	        5	13860.00
        2	        8	    30000	      105	        3	8562.50
        2	       13	    30000	      301	       10	7876.92
        2	       21	    30000	      125	        4	12757.14
        2	       34	    30000	      113	        3	11470.59
        2	       55	    30000	      133	        4	10803.64
        2	       89	    30000	      317	       10	13543.82
        2	      144	    30000	      204	        6	11013.19
        2	      233	    30000	      572	       19	11852.36
        2	      377	    30000	      482	       16	11276.92
        2	      610	    30000	     1076	       35	10700.82
        2	      987	    30000	      530	       17	11174.06
        2	     1597	    30000	      810	       27	11465.87
        2	     2584	    30000	      973	       32	11475.08
        2	     4181	    30000	     1998	       66	11118.11
        2	     6765	    30000	     3216	      107	11042.48
        2	    10946	    30000	     4130	      137	11400.79
        2	    17711	    30000	     6162	      205	11316.17
        2	    28657	    30000	     9387	      312	11257.52
        2	    46368	    30000	    14290	      476	11173.21
        4	        1	    30000	      170	        5	0.00
        4	        2	    30000	      211	        7	0.00
        4	        3	    30000	      236	        7	666.67
        4	        5	    30000	      280	        9	960.00
        4	        8	    30000	      123	        4	787.50
        4	       13	    30000	      403	       13	669.23
        4	       21	    30000	      174	        5	633.33
        4	       34	    30000	      202	        6	570.59
        4	       55	    30000	      237	        7	625.45
        4	       89	    30000	      157	        5	532.58
        4	      144	    30000	      161	        5	520.83
        4	      233	    30000	      178	        5	612.88
        4	      377	    30000	      229	        7	556.50
        4	      610	    30000	      244	        8	626.56
        4	      987	    30000	      324	       10	617.22
        4	     1597	    30000	      471	       15	577.65
        4	     2584	    30000	      646	       21	598.34
        4	     4181	    30000	     1032	       34	629.71
        4	     6765	    30000	     1418	       47	617.32
        4	    10946	    30000	     2076	       69	604.05
        4	    17711	    30000	     2569	       85	626.44
        4	    28657	    30000	     4195	      139	609.66
        4	    46368	    30000	     5371	      179	620.15
        8	        1	    30000	      119	        3	0.00
        8	        2	    30000	      115	        3	50.00
        8	        3	    30000	      112	        3	366.67
        8	        5	    30000	      113	        3	20.00
        8	        8	    30000	      124	        4	12.50
        8	       13	    30000	      117	        3	15.38
        8	       21	    30000	      120	        4	19.05
        8	       34	    30000	      146	        4	20.59
        8	       55	    30000	      147	        4	10.91
        8	       89	    30000	      163	        5	19.10
        8	      144	    30000	      168	        5	29.86
        8	      233	    30000	      226	        7	14.16
        8	      377	    30000	      278	        9	24.40
        8	      610	    30000	      335	       11	30.16
        8	      987	    30000	      499	       16	21.99
        8	     1597	    30000	      768	       25	30.68
        8	     2584	    30000	     1112	       37	23.34
        8	     4181	    30000	     1766	       58	23.63
        8	     6765	    30000	     2855	       95	23.34
        8	    10946	    30000	     5489	      182	22.42
        8	    17711	    30000	    10961	      365	22.67
        8	    28657	    30000	    22281	      742	22.58
        8	    46368	    30000	    27275	      909	23.63
       16	        1	    30000	      111	        3	0.00
       16	        2	    30000	      110	        3	0.00
       16	        3	    30000	      100	        3	0.00
       16	        5	    30000	      111	        3	0.00
       16	        8	    30000	      123	        4	0.00
       16	       13	    30000	      120	        4	0.00
       16	       21	    30000	      124	        4	0.00
       16	       34	    30000	      139	        4	5.88
       16	       55	    30000	      150	        5	0.00
       16	       89	    30000	      179	        5	1.12
       16	      144	    30000	      225	        7	1.39
       16	      233	    30000	      276	        9	3.86
       16	      377	    30000	      402	       13	1.59
       16	      610	    30000	      567	       18	3.77
       16	      987	    30000	      843	       28	2.03
       16	     1597	    30000	     1378	       45	2.13
       16	     2584	    30000	     2153	       71	1.78
       16	     4181	    30000	     3733	      124	2.94
       16	     6765	    30000	     6382	      212	2.20
