
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	     1000	        3	        3	0.00
        2	        2	     1000	        3	        3	0.00
        2	        3	     1000	        3	        3	0.00
        2	        5	     1000	        4	        4	0.00
        2	        8	     1000	        4	        4	0.00
        2	       13	     1000	        5	        5	0.00
        2	       21	     1000	        6	        6	0.00
        2	       34	     1000	        8	        8	0.00
        2	       55	     1000	       12	       12	0.00
        2	       89	     1000	       18	       18	0.00
        2	      144	     1000	       24	       24	0.00
        2	      233	     1000	       37	       37	0.00
        2	      377	     1000	       58	       58	0.00
        2	      610	     1000	       98	       98	0.00
        2	      987	     1000	      147	      147	0.00
        2	     1597	     1000	      239	      239	0.00
        2	     2584	     1000	      380	      380	0.00
        2	     4181	     1000	      645	      645	0.00
        2	     6765	     1000	      990	      990	0.00
        2	    10946	     1000	     1638	     1638	0.00
        2	    17711	     1000	     2697	     2697	0.00
        2	    28657	     1000	     4716	     4716	0.00
        2	    46368	     1000	     7277	     7277	0.00
        4	        1	     1000	        4	        4	0.00
        4	        2	     1000	        4	        4	0.00
        4	        3	     1000	        4	        4	0.00
        4	        5	     1000	        4	        4	0.00
        4	        8	     1000	        5	        5	0.00
        4	       13	     1000	        6	        6	0.00
        4	       21	     1000	        7	        7	0.00
        4	       34	     1000	       11	       11	0.00
        4	       55	     1000	       15	       15	0.00
        4	       89	     1000	       21	       21	0.00
        4	      144	     1000	       34	       34	0.00
        4	      233	     1000	       54	       54	0.00
        4	      377	     1000	       85	       85	0.00
        4	      610	     1000	      139	      139	0.00
        4	      987	     1000	      221	      221	0.00
        4	     1597	     1000	      321	      321	0.00
        4	     2584	     1000	      496	      496	0.00
        4	     4181	     1000	      718	      718	0.00
        4	     6765	     1000	     1195	     1195	0.00
        4	    10946	     1000	     1962	     1962	0.00
        4	    17711	     1000	     3182	     3182	0.00
        4	    28657	     1000	     5296	     5296	0.00
        4	    46368	     1000	     8681	     8681	0.00
        8	        1	     1000	        4	        4	0.00
        8	        2	     1000	        4	        4	0.00
        8	        3	     1000	        4	        4	0.00
        8	        5	     1000	        4	        4	0.00
        8	        8	     1000	        5	        5	0.00
        8	       13	     1000	        7	        7	0.00
        8	       21	     1000	        9	        9	0.00
        8	       34	     1000	       13	       13	0.00
        8	       55	     1000	       20	       20	0.00
        8	       89	     1000	       23	       23	0.00
        8	      144	     1000	       44	       44	0.00
        8	      233	     1000	       66	       66	0.00
        8	      377	     1000	       90	       90	0.00
        8	      610	     1000	      142	      142	0.00
        8	      987	     1000	      242	      242	0.00
        8	     1597	     1000	      406	      406	0.00
        8	     2584	     1000	      635	      635	0.00
        8	     4181	     1000	     1031	     1031	0.00
        8	     6765	     1000	     1582	     1582	0.00
        8	    10946	     1000	     2602	     2602	0.00
        8	    17711	     1000	     4177	     4177	0.00
        8	    28657	     1000	     6963	     6963	0.00
        8	    46368	     1000	    11227	    11227	0.00
       16	        1	     1000	        4	        4	0.00
       16	        2	     1000	        5	        5	0.00
       16	        3	     1000	        5	        5	0.00
       16	        5	     1000	        6	        6	0.00
       16	        8	     1000	        7	        7	0.00
       16	       13	     1000	        8	        8	0.00
       16	       21	     1000	       12	       12	0.00
       16	       34	     1000	       16	       16	0.00
       16	       55	     1000	       21	       21	0.00
       16	       89	     1000	       35	       35	0.00
       16	      144	     1000	       61	       61	0.00
       16	      233	     1000	       91	       91	0.00
       16	      377	     1000	      152	      152	0.00
       16	      610	     1000	      220	      220	0.00
       16	      987	     1000	      396	      396	0.00
       16	     1597	     1000	      612	      612	0.00
       16	     2584	     1000	      909	      909	0.00
       16	     4181	     1000	     1523	     1523	0.00
       16	     6765	     1000	     2442	     2442	0.00
       16	    10946	     1000	     3880	     3880	0.00
       16	    17711	     1000	     6259	     6259	0.00
       16	    28657	     1000	    10139	    10139	0.00
       16	    46368	     1000	    17043	    17043	0.00
       24	        1	     1000	        4	        4	0.00
       24	        2	     1000	        5	        5	0.00
       24	        3	     1000	        6	        6	0.00
       24	        5	     1000	        7	        7	0.00
       24	        8	     1000	        7	        7	0.00
       24	       13	     1000	       10	       10	0.00
       24	       21	     1000	       14	       14	0.00
       24	       34	     1000	       24	       24	0.00
       24	       55	     1000	       32	       32	0.00
       24	       89	     1000	       46	       46	0.00
       24	      144	     1000	       70	       70	0.00
       24	      233	     1000	      131	      131	0.00
       24	      377	     1000	      169	      169	0.00
       24	      610	     1000	      321	      321	0.00
       24	      987	     1000	      477	      477	0.00
       24	     1597	     1000	      731	      731	0.00
       24	     2584	     1000	     1203	     1203	0.00
       24	     4181	     1000	     2009	     2009	0.00
       24	     6765	     1000	     3201	     3201	0.00
       24	    10946	     1000	     5304	     5304	0.00
       24	    17711	     1000	     8856	     8856	0.00
       24	    28657	     1000	    14431	    14431	0.00
       24	    46368	     1000	    23648	    23648	0.00
       32	        1	     1000	        5	        5	0.00
       32	        2	     1000	        5	        5	0.00
       32	        3	     1000	        5	        5	0.00
       32	        5	     1000	        6	        6	0.00
       32	        8	     1000	        7	        7	0.00
       32	       13	     1000	       10	       10	0.00
       32	       21	     1000	       14	       14	0.00
       32	       34	     1000	       21	       21	0.00
       32	       55	     1000	       32	       32	0.00
       32	       89	     1000	       52	       52	0.00
       32	      144	     1000	       80	       80	0.00
       32	      233	     1000	      129	      129	0.00
       32	      377	     1000	      214	      214	0.00
       32	      610	     1000	      355	      355	0.00
       32	      987	     1000	      561	      561	0.00
       32	     1597	     1000	      890	      890	0.00
       32	     2584	     1000	     1511	     1511	0.00
       32	     4181	     1000	     2356	     2356	0.00
       32	     6765	     1000	     3918	     3918	0.00
       32	    10946	     1000	     6471	     6471	0.00
       32	    17711	     1000	    10795	    10795	0.00
       32	    28657	     1000	    17430	    17430	0.00
       32	    46368	     1000	    28577	    28577	0.00
    
