
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      546	       18	7800.00
        2	        2	    30000	      390	       13	15450.00
        2	        3	    30000	      387	       12	12133.33
        2	        5	    30000	      414	       13	6700.00
        2	        8	    30000	      401	       13	11637.50
        2	       13	    30000	      414	       13	9192.31
        2	       21	    30000	      426	       14	11190.48
        2	       34	    30000	      419	       13	9076.47
        2	       55	    30000	      428	       14	10372.73
        2	       89	    30000	      424	       14	9662.92
        2	      144	    30000	      452	       15	11993.06
        2	      233	    30000	      528	       17	11904.72
        2	      377	    30000	      565	       18	11764.99
        2	      610	    30000	      665	       22	10891.64
        2	      987	    30000	      663	       22	11532.52
        2	     1597	    30000	      871	       29	10914.09
        2	     2584	    30000	     1159	       38	11309.44
        2	     4181	    30000	     1486	       49	11251.47
        2	     6765	    30000	     2182	       72	11186.12
        2	    10946	    30000	     3231	      107	11307.30
        2	    17711	    30000	     4795	      159	11232.61
        2	    28657	    30000	     7379	      245	11262.24
        2	    46368	    30000	    11920	      397	11272.49
        4	        1	    30000	      721	       24	0.00
        4	        2	    30000	      774	       25	150.00
        4	        3	    30000	      777	       25	233.33
        4	        5	    30000	      732	       24	1000.00
        4	        8	    30000	      794	       26	462.50
        4	       13	    30000	      723	       24	384.62
        4	       21	    30000	      951	       31	328.57
        4	       34	    30000	      907	       30	1011.76
        4	       55	    30000	      698	       23	570.91
        4	       89	    30000	      738	       24	553.93
        4	      144	    30000	      796	       26	649.31
        4	      233	    30000	      883	       29	548.07
        4	      377	    30000	      741	       24	570.03
        4	      610	    30000	      739	       24	600.66
        4	      987	    30000	      846	       28	597.47
        4	     1597	    30000	      906	       30	616.53
        4	     2584	    30000	      934	       31	612.50
        4	     4181	    30000	     1377	       45	603.44
        4	     6765	    30000	     1577	       52	609.49
        4	    10946	    30000	     1676	       55	620.88
        4	    17711	    30000	     2073	       69	629.48
        4	    28657	    30000	     3551	      118	617.48
        4	    46368	    30000	     5668	      188	608.81
        8	        1	    30000	     1585	       52	0.00
        8	        2	    30000	     1577	       52	0.00
        8	        3	    30000	     1549	       51	0.00
        8	        5	    30000	     1825	       60	40.00
        8	        8	    30000	     2068	       68	25.00
        8	       13	    30000	     1508	       50	0.00
        8	       21	    30000	     1601	       53	14.29
        8	       34	    30000	     1518	       50	20.59
        8	       55	    30000	     1655	       55	16.36
        8	       89	    30000	     1595	       53	25.84
        8	      144	    30000	     1710	       57	16.67
        8	      233	    30000	     1605	       53	33.05
        8	      377	    30000	     1602	       53	27.06
        8	      610	    30000	     1768	       58	21.15
        8	      987	    30000	     1697	       56	26.85
        8	     1597	    30000	     2270	       75	21.23
        8	     2584	    30000	     1905	       63	24.07
        8	     4181	    30000	     2357	       78	23.20
        8	     6765	    30000	     2670	       89	22.07
        8	    10946	    30000	     3731	      124	21.45
        8	    17711	    30000	     3111	      103	22.36
        8	    28657	    30000	     4388	      146	22.52
        8	    46368	    30000	     7035	      234	22.72
       16	        1	    30000	     3221	      107	0.00
       16	        2	    30000	     3198	      106	0.00
       16	        3	    30000	     3102	      103	0.00
       16	        5	    30000	     2854	       95	0.00
       16	        8	    30000	     3502	      116	0.00
       16	       13	    30000	     3373	      112	7.69
       16	       21	    30000	     3676	      122	0.00
       16	       34	    30000	     3880	      129	5.88
       16	       55	    30000	     3226	      107	0.00
       16	       89	    30000	     3091	      103	0.00
       16	      144	    30000	     3183	      106	2.08
       16	      233	    30000	     3403	      113	3.00
       16	      377	    30000	     3564	      118	3.98
       16	      610	    30000	     3361	      112	1.97
       16	      987	    30000	     3383	      112	1.82
       16	     1597	    30000	     3532	      117	1.75
       16	     2584	    30000	     4183	      139	2.48
       16	     4181	    30000	     4380	      146	3.80
       16	     6765	    30000	     4902	      163	2.14
       16	    10946	    30000	     6375	      212	1.96
       16	    17711	    30000	     8831	      294	2.43
       16	    28657	    30000	    11020	      367	2.60
       16	    46368	    30000	    18646	      621	2.67
       24	        1	    30000	     6137	      204	0.00
       24	        2	    30000	     6159	      205	0.00
       24	        3	    30000	     7048	      234	0.00
       24	        5	    30000	     7440	      248	20.00
       24	        8	    30000	     5688	      189	0.00
       24	       13	    30000	     6615	      220	0.00
       24	       21	    30000	     5673	      189	0.00
       24	       34	    30000	     5280	      176	0.00
       24	       55	    30000	     5863	      195	0.00
       24	       89	    30000	     5529	      184	1.12
       24	      144	    30000	     5496	      183	3.47
       24	      233	    30000	     5429	      180	2.15
       24	      377	    30000	     5459	      181	3.98
       24	      610	    30000	     5534	      184	6.07
       24	      987	    30000	     5881	      196	2.53
       24	     1597	    30000	     6703	      223	2.44
       24	     2584	    30000	     8165	      272	3.44
       24	     4181	    30000	     8391	      279	2.25
       24	     6765	    30000	     9732	      324	3.16
       24	    10946	    30000	    11990	      399	2.59
       24	    17711	    30000	    17542	      584	2.63
       24	    28657	    30000	    23814	      793	2.62
       24	    46368	    30000	    33509	     1116	2.72
       32	        1	    30000	     8001	      266	0.00
       32	        2	    30000	     7635	      254	0.00
       32	        3	    30000	     7583	      252	0.00
       32	        5	    30000	     7557	      251	0.00
       32	        8	    30000	     8325	      277	0.00
       32	       13	    30000	     8337	      277	0.00
       32	       21	    30000	     8202	      273	0.00
       32	       34	    30000	     7760	      258	0.00
       32	       55	    30000	     8255	      275	10.91
       32	       89	    30000	     9006	      300	3.37
       32	      144	    30000	     8365	      278	2.08
       32	      233	    30000	     7909	      263	3.00
       32	      377	    30000	     8142	      271	0.80
       32	      610	    30000	     8340	      278	5.74
       32	      987	    30000	     8626	      287	6.38
       32	     1597	    30000	     9059	      301	5.32
       32	     2584	    30000	    13201	      440	5.57
       32	     4181	    30000	    22880	      762	8.71
       32	     6765	    30000	    29048	      968	6.30
       32	    10946	    30000	    27496	      916	5.37
       32	    17711	    30000	    24954	      831	5.20
       32	    28657	    30000	    32735	     1091	6.73
       32	    46368	    30000	    47890	     1596	6.62
    
