
dimensions	rules	points	timeMs	timeNormUs	matchesPercent
        2	        1	    30000	      119	        3	0.00
        2	        2	    30000	      116	        3	0.00
        2	        3	    30000	      106	        3	0.00
        2	        5	    30000	      127	        4	0.00
        2	        8	    30000	      119	        3	0.00
        2	       13	    30000	      121	        4	0.00
        2	       21	    30000	      144	        4	0.00
        2	       34	    30000	      152	        5	0.00
        2	       55	    30000	      172	        5	0.00
        2	       89	    30000	      188	        6	0.00
        2	      144	    30000	      203	        6	0.00
        2	      233	    30000	      208	        6	0.00
        2	      377	    30000	      262	        8	0.00
        2	      610	    30000	      322	       10	0.00
        2	      987	    30000	      367	       12	0.00
        2	     1597	    30000	      462	       15	0.00
        2	     2584	    30000	      721	       24	0.00
        2	     4181	    30000	     1015	       33	0.00
        2	     6765	    30000	     1418	       47	0.00
        2	    10946	    30000	     2155	       71	0.00
        2	    17711	    30000	     3457	      115	0.00
        2	    28657	    30000	     5311	      177	0.00
        2	    46368	    30000	     9291	      309	0.00
        4	        1	    30000	      124	        4	0.00
        4	        2	    30000	      126	        4	0.00
        4	        3	    30000	      123	        4	0.00
        4	        5	    30000	      129	        4	0.00
        4	        8	    30000	      124	        4	0.00
        4	       13	    30000	      136	        4	0.00
        4	       21	    30000	      144	        4	0.00
        4	       34	    30000	      147	        4	0.00
        4	       55	    30000	      177	        5	0.00
        4	       89	    30000	      202	        6	0.00
        4	      144	    30000	      183	        6	0.00
        4	      233	    30000	      193	        6	0.00
        4	      377	    30000	      213	        7	0.00
        4	      610	    30000	      233	        7	0.00
        4	      987	    30000	      231	        7	0.00
        4	     1597	    30000	      290	        9	0.00
        4	     2584	    30000	      317	       10	0.00
        4	     4181	    30000	      404	       13	0.00
        4	     6765	    30000	      509	       16	0.00
        4	    10946	    30000	      688	       22	0.00
        4	    17711	    30000	      913	       30	0.00
        4	    28657	    30000	     1157	       38	0.00
        4	    46368	    30000	     1791	       59	0.00
        8	        1	    30000	      116	        3	0.00
        8	        2	    30000	      136	        4	0.00
        8	        3	    30000	      125	        4	0.00
        8	        5	    30000	      140	        4	0.00
        8	        8	    30000	      132	        4	0.00
        8	       13	    30000	      140	        4	0.00
        8	       21	    30000	      146	        4	0.00
        8	       34	    30000	      148	        4	0.00
        8	       55	    30000	      161	        5	0.00
        8	       89	    30000	      203	        6	0.00
        8	      144	    30000	      186	        6	0.00
        8	      233	    30000	      211	        7	0.00
        8	      377	    30000	      238	        7	0.00
        8	      610	    30000	      257	        8	0.00
        8	      987	    30000	      277	        9	0.00
        8	     1597	    30000	      308	       10	0.00
        8	     2584	    30000	      412	       13	0.00
        8	     4181	    30000	      450	       15	0.00
        8	     6765	    30000	      688	       22	0.00
        8	    10946	    30000	      779	       25	0.00
        8	    17711	    30000	     1122	       37	0.00
        8	    28657	    30000	     1671	       55	0.00
        8	    46368	    30000	     5604	      186	0.00
       16	        1	    30000	      144	        4	0.00
       16	        2	    30000	      119	        3	0.00
       16	        3	    30000	      145	        4	0.00
       16	        5	    30000	      123	        4	0.00
       16	        8	    30000	      148	        4	0.00
       16	       13	    30000	      153	        5	0.00
       16	       21	    30000	      143	        4	0.00
       16	       34	    30000	      180	        6	0.00
       16	       55	    30000	      175	        5	0.00
       16	       89	    30000	      218	        7	0.00
       16	      144	    30000	      240	        8	0.00
       16	      233	    30000	      245	        8	0.00
       16	      377	    30000	      254	        8	0.00
       16	      610	    30000	      294	        9	0.00
